smiles,mol_id
Loading a trained model from: /root/moler_checkpoint/GNN_Edge_MLP_MoLeR__2022-02-24_07-16-23_best.pkl,moler_0
O=C1C2=CC=C(C3=CC=CC=C3)C=C=C2OC2=CC=CC=C12,moler_1
CC(=O)NC1=NC2=CC(OCC3=CC=CN(CC4=CC=C(Cl)C=C4)C3=O)=CC=C2N1,moler_2
CCN1C(=O)C2=CC=CC=C2N=C1NC(C)C(=O)NCC(=O)N=[N+]=[N-],moler_3
CC(=O)N1CCCC1C1=NC2=CC=C(C(C)(C)CCCC(C)C)C=C2NC1=NC1=CC=C(O)C=C1,moler_4
N=C(N)NCCCCOC1=CC=C(Br)C(Cl)=N1,moler_5
O=C1C2=CC=C(C3=NN=CO3)C=C2N=CN1CC1=CC=C(C2=CC=CC=C2)C=C1,moler_6
O=CCCCCCN1C=CC2=CC=CC=C21,moler_7
CCOC(=O)C1=CC2=CC(CC(C)C)=CC=C2N=C1C1=CC=C(Br)C=C1,moler_8
CC1=C(C#N)C=C(NC(=O)NC2CCCCC2)N1CC#N,moler_9
CC1=CNN=C1NC(=O)COC1=CC=C(Cl)C=C1Cl,moler_10
O=C(O)C1=CC=C(C2CC3=CC=C(F)C=C3CO2)C=C1,moler_11
CCCCCCCCCCN=C(O)C1=CC=CC=C1,moler_12
CC1=CC=C(C)C(C2=CC=CC3=NC=CC=C23)=C1,moler_13
CC(C)(C)C(=O)NC(CC=CC1=CC=NO1)CC1=CC=CN=C1,moler_14
CC(C)N1C2=CC=C(Br)C=C2C(C2=CC=C(Cl)C=C2)=C1C1CNC1,moler_15
COC1=CC2=C(C=C1NC(=O)CCC(=O)N1CCN(C(=O)CCCC3=CNC=N3)CC1)OCCSN2,moler_16
CC1=CC=C2NCC(C)(C)OC2=C1,moler_17
O=C(COC(=O)C1=CC=C2CCCCC2=C1)NC1=CC=C(OC2=CC=C(C3=CC=NC=C3)N=C2[N+](=O)[O-])C=C1,moler_18
CC1=CC=C2C(=O)C3=CC=C(C(=O)NCC(F)(F)CSC4=NN=NN4)C=C3C(=O)C2=C1,moler_19
COC1=CC=C(C)C2=C1C(=O)C1=CC=C(CCCCOC3=CC=C(OC(=O)CCC4CCCO4)C=C3)C=C1C2=O,moler_20
C1=CN=NC(CCNC2=NC=CS2)=C1,moler_21
O=C(CSC1=NN=CN1CCOCCOCCCl)N1CCC(C2=CC=CO2)=N1,moler_22
COCCNC(=O)NC1=CC=CC=C1C(=O)NC1=NC(C2=CC3=CC=CC=C3N=C2O)=CS1,moler_23
C1=CC=C(CN2CCC(C3=CC=CC=C3)CC2)C=C1,moler_24
COC1=CC(C=CC2=NC3=CC=CC=C3C(=O)N2N2CCCC2)=CC=C1O,moler_25
CC(=O)NC1=CC=C(C2=CSC(NCC3CCN(CC4=CC=CC=C4)CC3)=N2)C=C1,moler_26
CC(=O)C1=CC=C(S(=O)(=O)N(C)CC(=O)N2CCC(C3=CC=CC=C3)CC2)C=C1,moler_27
O=[N+]([O-])C1=CC(F)=CC(Cl)=C1,moler_28
CC1=CC(C)=C(C2=CC=NC=C2)N1C1=CC=CC=C1,moler_29
CCC1=CC=C(COC2=CC=C(OCC(=O)OC(C)(C)C)C=C2)C=C1,moler_30
CCCCCCN=C(N)C1=CC=C(C(=O)NC2=CC=CC=C2)C=C1,moler_31
O=C(CCCNC1=CC=NC2=CC(F)=CC=C21)N1CCSCC1,moler_32
CCCCCCCCCCCCCCCCCCNCCCNCC(N)=C(C1=CC=CC=C1)C1=CC=CS1,moler_33
CN(O)C(=O)CCCCCC(=O)N1CCN(C(=O)CCCCCCCO)CC1,moler_34
O=C(CCC(=O)C1=CC=C(Cl)C=C1Cl)OC(C1=CC=C([N+](=O)[O-])C=C1)C1CCCCC1,moler_35
CC1CN=C(NC2(C3=CC(C(=O)NC4=CC=CC(Cl)=C4)=NO3)CCCCC2)NC1,moler_36
CCCC1=CN=C(C(N)CCN(CCNCC2=CC3=CC(C(=N)N)=CC=C3N2)CCN(C)CN)S1,moler_37
CCOC(=O)C(O)=NC1=CC=C(Cl)C=C1,moler_38
CC(C)C1=CC=C2C(=C1)C=C(CN1CCC(C3=CC=C(Cl)C=C3)CC1)CN2C(=O)C(C)(C)C,moler_39
CCOC1=CC=C(C(=O)NCC2CCC(C(=O)O)CC2)C=C1,moler_40
CNC1=C(C(=O)OC)N=NN1C1=CC=C(C)C=C1,moler_41
CN(CC(=CO)C=C1C(=C=CCNS(=O)(=O)C2=CC=C(F)C=C2)C=CC2=C1N(CCCC(N)=O)C(=O)C1=CC=CC=C12)CC1=CC=CO1,moler_42
O=C(O)CCCC(NC(=O)CC1=CC=CC=C1)C(=O)NC(SC=C1CCCC1)=C(O)O,moler_43
CC(NC(=O)C(N)CC1=CC=C(C(=O)N(C)C)C=C1)C(=O)NCC1=CC=CO1,moler_44
CCS(=O)(=O)C=CC1=NC2=CC=C(Cl)C=C2C(=O)N1,moler_45
CN1N=CC=C1CN1CCN(C(=N)N)CC1,moler_46
CC(C=CC=C=C1NC2=CC=C(F)C=C2C(C)(CCC(C)(C)C)C1=CC(F)=C(N)N)=CC(N)=O,moler_47
O=S(=O)(C1=CC=CC=C1)C1=CC=C(C2=CC=C(N3C=NC4=CC=CC=C43)C=C2)C=C1,moler_48
O=C(NC1=CC=CC=C1)N1CCOC2=CC(NC3=CC=CC=[N+]3CCO)=CC=C21,moler_49
CCC(=O)N1CN=C(C)N=C1NC1=CC=C(C2=NC3=CC=CC=C3S2)C=C1,moler_50
ClC1=CC=C2SC3=C(CCNC3)C2=C1,moler_51
O=C(NCCSC1=CC=C(Br)C=C1)C1=NC2=CC=CC=C2O1,moler_52
CC(C)(C)OC(CN(CC1=CC=CC=C1)S(=O)(=O)C1=CC=CC=C1)OCC1CC1,moler_53
CCOC(=O)N1CCN(NC(=O)C2CCN(C(=O)C3=C(Br)N(Br)N=N3)CC2)CC1,moler_54
CCNC1=C2C=C3C(=C=C(S)C2=CC=C1)C(NC1=CC=C(C(C)C)C=C1)=NN=C3C1=CC=C(OC)C=C1,moler_55
COC1=CC=C2NC=C(C3=CC=NC4=C(C(=O)NCCC5=CC=C(Cl)C=C5)SC(=O)N34)C2=C1,moler_56
CN(C)C1=CC=C(N2CCN(CCCC(C3=CC=CC=C3)C3=CC=C(Cl)C=C3)CC2)C=C1Cl,moler_57
CCCC(=O)N1CCC(C(=O)NC2=NC3=CC(C(=O)OCC)=CC=C3N2)CC1,moler_58
COC(=O)C1=C(C2=CC=CC=C2)C2=CC=CC=C2N1,moler_59
CCN(CC(=O)N1CCCC1)C(=O)C(CC(C)C)C(O)CNC(=N)N,moler_60
O=C(NCC1=CC=CC=C1)NC1=CC=C(C2=CC3=CC=CC=C3N=C2C2CC2)C=C1,moler_61
O=C(O)C1=CC(NC2=NC(NC(CC3=CC=CC=C3)C(=O)O)=NC=C2[N+](=O)[O-])=CC=C1OC1CCCC1,moler_62
N=C1CCN(C2=NC3=CC=CC=C3N2)N=C1O,moler_63
COC1=C(O)C=C2C(=C1)N=C(N)N=C2NC1=CC=C(Br)C=C1,moler_64
C1=CC(N2N=CC=C2C2CCCCC2)=CC=C1OCCCCN1CCCC1,moler_65
CN(CBr)CC1=CC=C(CN(C)C(=O)NC2=CC=C(NC(=O)NC3CCCCC3)C=C2)S1,moler_66
CCN1C=C(C(=O)NCCC2=CC=C(OC3=CC=CC=C3)C=C2)C(=O)N(C)C1=O,moler_67
CC(C(=O)NC(CC1=CNC2=CC=CC=C12)C(N)=O)C1SCNC1=O,moler_68
NC(=NF)NCCCCCCCCCCCCN=CN(F)F,moler_69
CNC(=O)C1=CC(C)=CC=C1N,moler_70
CCCCCC(=O)C1=NN(C2=CC=C(F)C=C2C(C)C)C=C1C1=CC=NC(N(C)C)=C1,moler_71
NC1=CC(F)=CN(CC#CC=CC(=O)O)C1=O,moler_72
CC1CC2C(C(C)CC3CC(=NNC(=O)NC4=CC=C(C5=CC=CC(Cl)=C5)C=C4)CCC32C)C(OC(C)(C)C)C1CO,moler_73
CC(CCCCCNC(=NO)C1=CC=C(F)N=C1)(CC1=CNN=C1)C(F)(F)F,moler_74
CN(C)C(=CN)C(=O)NC1=CC=CC=C1,moler_75
O=C(C=CC1=CC=C(F)C=C1)OCC(O)C1=CC=C(Cl)C=C1,moler_76
CC(C)OC1=CC=C(COC2=CC=C(CNC(=O)C3=C(N4C=CC=C4)NC4=CC=C(OC(F)F)C=C43)C=C2)C=C1,moler_77
COC1=CC=C(CNCCCCCNCC2=CC=C3C(=O)C4=CC=C(C)C=C4C(=O)C3=C2)C=C1,moler_78
O=C(CSC1=NC2=C(C(=O)N1CC1=CC=CC=C1)N(C1=CC=C(F)C=C1)C(S)=N2)C1=CC=C(F)C=C1,moler_79
O=C(NNC(=O)C(O)COC1=CC=CC=N1)C1=CC=C(Cl)C=C1Cl,moler_80
CC(C)(C)OC(=O)NCCCNCCCN=C(N)C1=CC=C(C2=NC=NO2)C=C1,moler_81
CC(C)(CCC#N)CS(=O)(=O)C1=CC=C(Cl)C=C1,moler_82
CCC1=CC=C(OCC2=CN=CC=N2)C=C1,moler_83
COC1=CC=C(C=NNC2=C3N=CNC3=NC(N3CCOCC3)=N2)C=C1,moler_84
CC(CCC1=NC=CS1)NC(=O)C(CC1=CC=C(Cl)C=C1)NC(=O)C1=CC=NN1C,moler_85
CCCCN(CCCC1=CC=CC=C1)C(=O)CNP(=O)(O)COC,moler_86
OC1=CC=C2OCCCOC2=C1,moler_87
FC1=CC=C(C2=C(C=NNC3=NC4=CC=C(Cl)C=C4S3)C3=CC(Cl)=CC=C3N2)C=C1,moler_88
