smiles,Mol,QED,logP,SA,PAINS,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,litegov_score
Cc1ccc(CNC(=O)N2CCN(c3ccccc3)CC2)cc1,,0.945755400488982,3.0268200000000016,1.6565834009876106,0.0,O=C(NCc1ccccc1)N1CCN(c2ccccc2)CC1,1.6565834009876106,Cc1ccc(CNC(=O)N2CCN(c3ccccc3)CC2)cc1,0.945755400488982,309.41300000000007,3.0268200000000016,35.580000000000005,2.0,1.0,3.0,23.0,2.0,0.3157894736842105,O=C(NCc1ccccc1)N1CCN(c2ccccc2)CC1,0,True,1.6565834009876106,0.9817294626380281
Cc1ccc(CC(=O)N2CC(NC(=O)c3ccccc3)C2)cc1,,0.9409501082334092,2.1783200000000003,1.7436503055182122,0.0,O=C(NC1CN(C(=O)Cc2ccccc2)C1)c1ccccc1,1.7436503055182122,Cc1ccc(CC(=O)N2CC(NC(=O)c3ccccc3)C2)cc1,0.9409501082334092,308.3810000000001,2.1783200000000003,49.41,2.0,1.0,4.0,23.0,2.0,0.2631578947368421,O=C(NC1CN(C(=O)Cc2ccccc2)C1)c1ccccc1,0,True,1.7436503055182122,0.9740801427182971
COc1ccc(NC(=O)c2ccc(Br)c(F)c2)cc1,,0.9312625125344224,3.8491000000000017,1.5645337040470135,0.0,O=C(Nc1ccccc1)c1ccccc1,1.5645337040470135,COc1ccc(NC(=O)c2ccc(Br)c(F)c2)cc1,0.9312625125344224,324.149,3.8491000000000017,38.33,2.0,1.0,3.0,19.0,2.0,0.0714285714285714,O=C(Nc1ccccc1)c1ccccc1,0,True,1.5645337040470135,0.9720604039735203
Cc1ccc(C(=O)N2CCC(C(=O)NCc3ccccc3)CC2)cc1,,0.9322237141513168,3.1636200000000017,1.6350166207920278,0.0,O=C(NCc1ccccc1)C1CCN(C(=O)c2ccccc2)CC1,1.6350166207920278,Cc1ccc(C(=O)N2CCC(C(=O)NCc3ccccc3)CC2)cc1,0.9322237141513168,336.4350000000001,3.1636200000000017,49.41,2.0,1.0,4.0,25.0,2.0,0.3333333333333333,O=C(NCc1ccccc1)C1CCN(C(=O)c2ccccc2)CC1,0,True,1.6350166207920278,0.9702689385525831
Cc1ccc(NC(=O)c2ccc(N3CCCC3)cc2)cc1,,0.925918163047034,3.847520000000003,1.4956877566238465,0.0,O=C(Nc1ccccc1)c1ccc(N2CCCC2)cc1,1.4956877566238465,Cc1ccc(NC(=O)c2ccc(N3CCCC3)cc2)cc1,0.925918163047034,280.371,3.847520000000003,32.34,2.0,1.0,3.0,21.0,2.0,0.2777777777777778,O=C(Nc1ccccc1)c1ccc(N2CCCC2)cc1,0,True,1.4956877566238465,0.9698137643094393
Cc1ccccc1C(=O)NCC1CCN(c2ccccc2)CC1,,0.934985372297817,3.6414200000000014,1.7258410358900225,0.0,O=C(NCC1CCN(c2ccccc2)CC1)c1ccccc1,1.7258410358900225,Cc1ccccc1C(=O)NCC1CCN(c2ccccc2)CC1,0.934985372297817,308.42500000000007,3.6414200000000014,32.34,2.0,1.0,4.0,23.0,2.0,0.35,O=C(NCC1CCN(c2ccccc2)CC1)c1ccccc1,0,True,1.7258410358900225,0.9693421152911942
Cc1ccc(C(=O)NC2CCN(c3ccccc3)CC2)s1,,0.9412989802319616,3.455320000000002,1.905542989915146,0.0,O=C(NC1CCN(c2ccccc2)CC1)c1cccs1,1.905542989915146,Cc1ccc(C(=O)NC2CCN(c3ccccc3)CC2)s1,0.9412989802319616,300.427,3.455320000000002,32.34,3.0,1.0,3.0,21.0,2.0,0.3529411764705882,O=C(NC1CCN(c2ccccc2)CC1)c1cccs1,0,True,1.905542989915146,0.9682789644941969
Cc1ccc(Cl)cc1NC(=O)c1ccc(N2CCOCC2)cc1,,0.931817501374034,3.737320000000002,1.7265138988479585,0.0,O=C(Nc1ccccc1)c1ccc(N2CCOCC2)cc1,1.7265138988479585,Cc1ccc(Cl)cc1NC(=O)c1ccc(N2CCOCC2)cc1,0.931817501374034,330.81500000000017,3.737320000000002,41.57000000000001,3.0,1.0,3.0,23.0,2.0,0.2777777777777778,O=C(Nc1ccccc1)c1ccc(N2CCOCC2)cc1,0,True,1.7265138988479585,0.966442901247683
Cc1cccc(-c2nc(C(=O)NC3CCOCC3)cs2)c1,,0.947893550795942,3.0273200000000013,2.127158626737341,0.0,O=C(NC1CCOCC1)c1csc(-c2ccccc2)n1,2.127158626737341,Cc1cccc(-c2nc(C(=O)NC3CCOCC3)cs2)c1,0.947893550795942,302.39899999999994,3.0273200000000013,51.22,4.0,1.0,3.0,21.0,2.0,0.375,O=C(NC1CCOCC1)c1csc(-c2ccccc2)n1,0,True,2.127158626737341,0.965886843243274
Cc1ccc(NC(=O)COc2ccc(F)cc2)cc1,,0.9155512434399602,3.151620000000001,1.3860463794219535,0.0,O=C(COc1ccccc1)Nc1ccccc1,1.3860463794219535,Cc1ccc(NC(=O)COc2ccc(F)cc2)cc1,0.9155512434399602,259.28000000000003,3.151620000000001,38.33,2.0,1.0,4.0,19.0,2.0,0.1333333333333333,O=C(COc1ccccc1)Nc1ccccc1,0,True,1.3860463794219535,0.9645524087656974
Cc1cc(NC(=O)c2ccc(F)cc2)ccc1C(=O)N1CCOCC1,,0.933059190634123,2.8588200000000006,1.80765643661001,0.0,O=C(Nc1ccc(C(=O)N2CCOCC2)cc1)c1ccccc1,1.80765643661001,Cc1cc(NC(=O)c2ccc(F)cc2)ccc1C(=O)N1CCOCC1,0.933059190634123,342.37000000000023,2.8588200000000006,58.64,3.0,1.0,3.0,25.0,2.0,0.2631578947368421,O=C(Nc1ccc(C(=O)N2CCOCC2)cc1)c1ccccc1,0,True,1.80765643661001,0.9645030750513746
