smiles,Mol,QED,logP,SA,PAINS,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,lipinski_violations_calc,baseline,rank_qed
Cc1cccc(-c2nc(C(=O)NC3CCOCC3)cs2)c1,,0.947893550795942,3.0273200000000013,2.127158626737341,0.0,O=C(NC1CCOCC1)c1csc(-c2ccccc2)n1,2.127158626737341,Cc1cccc(-c2nc(C(=O)NC3CCOCC3)cs2)c1,0.947893550795942,302.39899999999994,3.0273200000000013,51.22,4.0,1.0,3.0,21.0,2.0,0.375,O=C(NC1CCOCC1)c1csc(-c2ccccc2)n1,0,True,2.127158626737341,0,qed,1
Cc1cccc(N2CCC(NC(=O)c3cccc(F)c3)CC2)n1,,0.947438580772382,2.927920000000001,1.968265647099708,0.0,O=C(NC1CCN(c2ccccn2)CC1)c1ccccc1,1.968265647099708,Cc1cccc(N2CCC(NC(=O)c3cccc(F)c3)CC2)n1,0.947438580772382,313.37600000000015,2.927920000000001,45.23,3.0,1.0,3.0,23.0,2.0,0.3333333333333333,O=C(NC1CCN(c2ccccn2)CC1)c1ccccc1,0,True,1.968265647099708,0,qed,2
Cc1ccc(C(=O)N2CCC(NC(=O)c3ccccc3)C2)cc1,,0.94741258623889,2.639520000000001,2.0786232634736117,0.0,O=C(NC1CCN(C(=O)c2ccccc2)C1)c1ccccc1,2.0786232634736117,Cc1ccc(C(=O)N2CCC(NC(=O)c3ccccc3)C2)cc1,0.94741258623889,308.3810000000001,2.639520000000001,49.41,2.0,1.0,3.0,23.0,2.0,0.2631578947368421,O=C(NC1CCN(C(=O)c2ccccc2)C1)c1ccccc1,0,True,2.0786232634736117,0,qed,3
Cc1cc(C(=O)N[C@H]2CCN(c3ccccc3)C2)cc(C)n1,,0.9467035597320924,2.7071400000000008,2.4300681863478726,0.0,O=C(N[C@H]1CCN(c2ccccc2)C1)c1ccncc1,2.4300681863478726,Cc1cc(C(=O)N[C@H]2CCN(c3ccccc3)C2)cc(C)n1,0.9467035597320924,295.386,2.7071400000000008,45.23,3.0,1.0,3.0,22.0,2.0,0.3333333333333333,O=C(N[C@H]1CCN(c2ccccc2)C1)c1ccncc1,0,True,2.4300681863478726,0,qed,4
Cc1cc(NC(=O)c2csc(C3CCOCC3)n2)ccn1,,0.9464487477547264,2.992820000000001,2.4230168865103536,0.0,O=C(Nc1ccncc1)c1csc(C2CCOCC2)n1,2.4230168865103536,Cc1cc(NC(=O)c2csc(C3CCOCC3)n2)ccn1,0.9464487477547264,303.38699999999994,2.992820000000001,64.11,5.0,1.0,3.0,21.0,2.0,0.4,O=C(Nc1ccncc1)c1csc(C2CCOCC2)n1,0,True,2.4230168865103536,0,qed,5
Cc1cccc(C(=O)Nc2nc(C3CCOCC3)ns2)c1,,0.9464487477547264,2.992820000000002,2.3351528259807197,0.0,O=C(Nc1nc(C2CCOCC2)ns1)c1ccccc1,2.3351528259807197,Cc1cccc(C(=O)Nc2nc(C3CCOCC3)ns2)c1,0.9464487477547264,303.38699999999994,2.992820000000002,64.11,5.0,1.0,3.0,21.0,2.0,0.4,O=C(Nc1nc(C2CCOCC2)ns1)c1ccccc1,0,True,2.3351528259807197,0,qed,6
Cc1ccc(CC(=O)Nc2ccc3c(c2)OCCCO3)cc1,,0.9449244130731812,3.3375200000000014,1.8111334533406025,0.0,O=C(Cc1ccccc1)Nc1ccc2c(c1)OCCCO2,1.8111334533406025,Cc1ccc(CC(=O)Nc2ccc3c(c2)OCCCO3)cc1,0.9449244130731812,297.354,3.3375200000000014,47.56,3.0,1.0,3.0,22.0,2.0,0.2777777777777778,O=C(Cc1ccccc1)Nc1ccc2c(c1)OCCCO2,0,True,1.8111334533406025,0,qed,7
Cc1nc(N2CC[C@@H](NC(=O)c3cc(F)ccc3F)C2)cs1,,0.9445510658010136,2.7384200000000014,2.8080931774857696,0.0,O=C(N[C@@H]1CCN(c2cscn2)C1)c1ccccc1,2.8080931774857696,Cc1nc(N2CC[C@@H](NC(=O)c3cc(F)ccc3F)C2)cs1,0.9445510658010136,323.36800000000005,2.7384200000000014,45.23,4.0,1.0,3.0,22.0,2.0,0.3333333333333333,O=C(N[C@@H]1CCN(c2cscn2)C1)c1ccccc1,0,True,2.8080931774857696,0,qed,8
Cc1ccc(-c2csc(NC(=O)C3CCOCC3)n2)cc1,,0.9440292304884748,3.483620000000002,1.987764175287152,0.0,O=C(Nc1nc(-c2ccccc2)cs1)C1CCOCC1,1.987764175287152,Cc1ccc(-c2csc(NC(=O)C3CCOCC3)n2)cc1,0.9440292304884748,302.399,3.483620000000002,51.22,4.0,1.0,3.0,21.0,2.0,0.375,O=C(Nc1nc(-c2ccccc2)cs1)C1CCOCC1,0,True,1.987764175287152,0,qed,9
Cc1ccccc1C(=O)NC1CN(c2ccccc2Cl)C1,,0.9433819914563836,3.2670200000000023,1.8021197612405155,0.0,O=C(NC1CN(c2ccccc2)C1)c1ccccc1,1.8021197612405155,Cc1ccccc1C(=O)NC1CN(c2ccccc2Cl)C1,0.9433819914563836,300.78900000000004,3.2670200000000023,32.34,2.0,1.0,3.0,21.0,2.0,0.2352941176470588,O=C(NC1CN(c2ccccc2)C1)c1ccccc1,0,True,1.8021197612405155,0,qed,10
