smiles,Mol,QED,logP,SA,PAINS,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa
CC(C)CC[NH+]1CCC12CCN(C(=O)C1CCOCC1)CC2,,0.8439754127359346,1.108900000000002,4.562540488036463,0.0,O=C(C1CCOCC1)N1CCC2(CC[NH2+]2)CC1,4.562540488036463,CC(C)CC[NH+]1CCC12CCN(C(=O)C1CCOCC1)CC2,0.8439754127359346,309.4740000000001,1.108900000000002,33.980000000000004,2.0,1.0,4.0,22.0,0.0,0.9444444444444444,O=C(C1CCOCC1)N1CCC2(CC[NH2+]2)CC1,0,True,4.562540488036463
Cc1ccc([C@@H](C)NC(=O)N2CCO[C@H](c3ccccc3)C2)cc1,,0.9318365371754923,3.839120000000003,2.6872334710600505,0.0,O=C(NCc1ccccc1)N1CCO[C@H](c2ccccc2)C1,2.6872334710600505,Cc1ccc([C@@H](C)NC(=O)N2CCO[C@H](c3ccccc3)C2)cc1,0.9318365371754923,324.42400000000004,3.839120000000003,41.57000000000001,2.0,1.0,3.0,24.0,2.0,0.35,O=C(NCc1ccccc1)N1CCO[C@H](c2ccccc2)C1,0,True,2.6872334710600505
Cc1cccc(C2(C(=O)NC3CCC(NC(=O)OC(C)(C)C)CC3)CCC2)c1,,0.8073952419492738,4.368820000000004,2.377211940267058,0.0,O=C(NC1CCCCC1)C1(c2ccccc2)CCC1,2.377211940267058,Cc1cccc(C2(C(=O)NC3CCC(NC(=O)OC(C)(C)C)CC3)CCC2)c1,0.8073952419492738,386.5360000000003,4.368820000000004,67.43,3.0,2.0,4.0,28.0,1.0,0.6521739130434783,O=C(NC1CCCCC1)C1(c2ccccc2)CCC1,0,True,2.377211940267058
O=CN1CC[NH+](Cc2ccccc2)CC1,,0.6638590549882718,-0.456499999999999,3.822834867055665,0.0,c1ccc(C[NH+]2CCNCC2)cc1,3.822834867055665,O=CN1CC[NH+](Cc2ccccc2)CC1,0.6638590549882718,205.281,-0.456499999999999,24.750000000000004,1.0,1.0,3.0,15.0,1.0,0.4166666666666667,c1ccc(C[NH+]2CCNCC2)cc1,0,True,3.822834867055665
Cc1ccc([C@H]2CCN(C(=O)[C@@H]3CC[NH+](Cc4ccccc4)C3)C2)cc1,,0.9008446991022602,2.41592,3.915899194055415,0.0,O=C([C@@H]1CC[NH+](Cc2ccccc2)C1)N1CC[C@H](c2ccccc2)C1,3.915899194055415,Cc1ccc([C@H]2CCN(C(=O)[C@@H]3CC[NH+](Cc4ccccc4)C3)C2)cc1,0.9008446991022602,349.4980000000001,2.41592,24.750000000000004,1.0,1.0,4.0,26.0,2.0,0.43478260869565216,O=C([C@@H]1CC[NH+](Cc2ccccc2)C1)N1CC[C@H](c2ccccc2)C1,0,True,3.915899194055415
CCOc1ccc(NC(=O)N2CCN(c3ccc(Oc4ccccc4)cc3)CC2)c(F)c1,,0.5655679415381398,5.3708000000000045,2.0073632312296823,0.0,O=C(Nc1ccccc1)N1CCN(c2ccc(Oc3ccccc3)cc2)CC1,2.0073632312296823,CCOc1ccc(NC(=O)N2CCN(c3ccc(Oc4ccccc4)cc3)CC2)c(F)c1,0.5655679415381398,435.49900000000014,5.3708000000000045,54.040000000000006,4.0,1.0,6.0,32.0,3.0,0.24,O=C(Nc1ccccc1)N1CCN(c2ccc(Oc3ccccc3)cc2)CC1,0,True,2.0073632312296823
CCc1cccc(C(=O)NCC2(NC(=O)OC(C)(C)C)CCCC2)c1,,0.8516056240200587,3.8163000000000036,2.3227743130997194,0.0,O=C(NCC1CCCC1)c1ccccc1,2.3227743130997194,CCc1cccc(C(=O)NCC2(NC(=O)OC(C)(C)C)CCCC2)c1,0.8516056240200587,346.4710000000002,3.8163000000000036,67.43,3.0,2.0,5.0,25.0,1.0,0.6,O=C(NCC1CCCC1)c1ccccc1,0,True,2.3227743130997194
NC[C@@H]1CCCN1C(=O)c1ccccc1,,0.7877137578780814,1.2498999999999993,2.194649427648141,0.0,O=C(c1ccccc1)N1CCCC1,2.194649427648141,NC[C@@H]1CCCN1C(=O)c1ccccc1,0.7877137578780814,204.27300000000002,1.2498999999999993,46.33,2.0,1.0,2.0,15.0,1.0,0.4166666666666667,O=C(c1ccccc1)N1CCCC1,0,True,2.194649427648141
COc1ccc(C(=O)NCCC[NH+]2CCOCC2)cc1,,0.7049744696965575,-0.2697999999999985,3.2133081030837447,0.0,O=C(NCCC[NH+]1CCOCC1)c1ccccc1,3.2133081030837447,COc1ccc(C(=O)NCCC[NH+]2CCOCC2)cc1,0.7049744696965575,279.3599999999999,-0.2697999999999985,52.0,3.0,2.0,6.0,20.0,1.0,0.5333333333333333,O=C(NCCC[NH+]1CCOCC1)c1ccccc1,0,True,3.2133081030837447
CC[C@H](C)C[NH+]1CC(NC(=O)c2ccc(Cl)nc2)C1,,0.7842474812216449,0.7779999999999999,3.87971089018352,0.0,O=C(NC1C[NH2+]C1)c1cccnc1,3.87971089018352,CC[C@H](C)C[NH+]1CC(NC(=O)c2ccc(Cl)nc2)C1,0.7842474812216449,282.795,0.7779999999999999,46.43,2.0,2.0,5.0,19.0,1.0,0.5714285714285714,O=C(NC1C[NH2+]C1)c1cccnc1,0,True,3.87971089018352
