Mol,QED,logP,SA,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa
CC(=O)NC1=CC=C(OCC(=O)NCCBr)C=C1,0.7825717556645155,1.5348999999999997,1.84429204137653,c1ccccc1,1.84429204137653,CC(=O)Nc1ccc(OCC(=O)NCCBr)cc1,0.7825717556645155,315.1669999999999,1.5348999999999997,67.42999999999999,3,2,6,18,1,0.3333333333333333,c1ccccc1,0,True,1.84429204137653
COC(=O)C1=CC=C(OCC(N)O)C(C(=O)O)=C1,0.493117982506863,-0.1726999999999998,2.584241573834351,c1ccccc1,2.584241573834351,COC(=O)c1ccc(OCC(N)O)c(C(=O)O)c1,0.493117982506863,255.226,-0.1726999999999998,119.08,6,3,5,18,1,0.2727272727272727,c1ccccc1,0,True,2.584241573834351
O=C(CN1CCN(C(=O)CN(CC2=CC=CS2)S(=O)(=O)CC2=CC=CC=C2)CC1)NC1=CC=C(F)C=C1,0.4239840529618987,3.0021000000000013,2.4268610955630923,O=C(CN1CCN(C(=O)CN(Cc2cccs2)S(=O)(=O)Cc2ccccc2)CC1)Nc1ccccc1,2.4268610955630923,O=C(CN1CCN(C(=O)CN(Cc2cccs2)S(=O)(=O)Cc2ccccc2)CC1)Nc1ccc(F)cc1,0.4239840529618987,544.6740000000003,3.0021000000000013,90.03,6,1,10,37,3,0.3076923076923077,O=C(CN1CCN(C(=O)CN(Cc2cccs2)S(=O)(=O)Cc2ccccc2)CC1)Nc1ccccc1,0,True,2.4268610955630923
FC1=CC=C(C2=CNC3=CC=C4C=CC=CC4=C32)C=C1,0.4887788731737859,5.127200000000003,1.8721285724448933,c1ccc(-c2c[nH]c3ccc4ccccc4c23)cc1,1.8721285724448933,Fc1ccc(-c2c[nH]c3ccc4ccccc4c23)cc1,0.4887788731737859,261.29900000000004,5.127200000000003,15.79,0,1,1,20,4,0.0,c1ccc(-c2c[nH]c3ccc4ccccc4c23)cc1,0,True,1.8721285724448933
CN(C)S(=O)(=O)C1=CC=C(OCC2CC(N)CN2C(=O)CN2C=NC3=CC(F)=CC=C32)C=C1,0.5536133875831585,1.4329000000000005,3.359033351264141,O=C(Cn1cnc2ccccc21)N1CCCC1COc1ccccc1,3.359033351264141,CN(C)S(=O)(=O)c1ccc(OCC2CC(N)CN2C(=O)Cn2cnc3cc(F)ccc32)cc1,0.5536133875831585,475.5460000000002,1.4329000000000005,110.76,7,1,7,33,3,0.3636363636363636,O=C(Cn1cnc2ccccc21)N1CCCC1COc1ccccc1,0,True,3.359033351264141
CCN(CC)CC1=CC=C(NC(=S)C=CC2=CSC=N2)C2=CC=CC=C12,0.4263911436190823,5.590800000000004,2.890566104848276,S=C(C=Cc1cscn1)Nc1cccc2ccccc12,2.890566104848276,CCN(CC)Cc1ccc(NC(=S)C=Cc2cscn2)c2ccccc12,0.4263911436190823,381.5700000000001,5.590800000000004,28.16,4,1,7,26,3,0.238095238095238,S=C(C=Cc1cscn1)Nc1cccc2ccccc12,0,True,2.890566104848276
CC1=C(NS(=O)(=O)C2=CC=C(S(=O)(=O)OC3=CC=C(S(N)(=O)=O)C=C3)C=C2)OC=N1,0.4773271506913152,1.1989199999999998,2.609218498028998,O=S(=O)(Nc1cnco1)c1ccc(S(=O)(=O)Oc2ccccc2)cc1,2.609218498028998,Cc1ncoc1NS(=O)(=O)c1ccc(S(=O)(=O)Oc2ccc(S(N)(=O)=O)cc2)cc1,0.4773271506913152,473.51000000000016,1.1989199999999998,175.72999999999996,9,2,7,30,3,0.0625,O=S(=O)(Nc1cnco1)c1ccc(S(=O)(=O)Oc2ccccc2)cc1,0,True,2.609218498028998
FC1=CC=C(C=CC=CC2=CC=NC=C2)C=C1,0.7206629347749717,3.947300000000003,2.1127533510713263,C(C=Cc1ccncc1)=Cc1ccccc1,2.1127533510713263,Fc1ccc(C=CC=Cc2ccncc2)cc1,0.7206629347749717,225.266,3.947300000000003,12.89,1,0,3,17,2,0.0,C(C=Cc1ccncc1)=Cc1ccccc1,0,True,2.1127533510713263
O=S(=O)(CCCCN1CCOCC1)C1=CC=C(C2=CC=C(F)C=C2F)C=C1,0.6733243002018242,3.5179000000000027,2.12155792986999,O=S(=O)(CCCCN1CCOCC1)c1ccc(-c2ccccc2)cc1,2.12155792986999,O=S(=O)(CCCCN1CCOCC1)c1ccc(-c2ccc(F)cc2F)cc1,0.6733243002018242,395.47100000000006,3.5179000000000027,46.61,4,0,7,27,2,0.4,O=S(=O)(CCCCN1CCOCC1)c1ccc(-c2ccccc2)cc1,0,True,2.12155792986999
COC1=CC=C2NC=C(CNC(=O)NC3CCC(O)CC3)C2=C1,0.6976119330103707,2.2792000000000003,2.229926486260545,O=C(NCc1c[nH]c2ccccc12)NC1CCCCC1,2.229926486260545,COc1ccc2[nH]cc(CNC(=O)NC3CCC(O)CC3)c2c1,0.6976119330103707,317.38900000000007,2.2792000000000003,86.38,3,4,4,23,2,0.4705882352941176,O=C(NCc1c[nH]c2ccccc12)NC1CCCCC1,0,True,2.229926486260545
O=C(O)CCCCCNC(=O)C1=CC=C(OCC2=CC=NN2C2CCCCC2)C=C1,0.5345595494694128,4.342100000000004,2.325931857671879,c1ccc(OCc2ccnn2C2CCCCC2)cc1,2.325931857671879,O=C(O)CCCCCNC(=O)c1ccc(OCc2ccnn2C2CCCCC2)cc1,0.5345595494694128,413.51800000000026,4.342100000000004,93.45000000000002,5,2,11,30,2,0.5217391304347826,c1ccc(OCc2ccnn2C2CCCCC2)cc1,0,True,2.325931857671879
CC(CN1CCCC1)C(=O)NC(CC1=CC=C(Cl)C=C1Cl)C(=N)O,0.507863133261437,3.2878700000000007,3.188963632203258,O=C(CCN1CCCC1)NCCc1ccccc1,3.188963632203258,CC(CN1CCCC1)C(=O)NC(Cc1ccc(Cl)cc1Cl)C(=N)O,0.507863133261437,372.2960000000001,3.2878700000000007,76.42,3,3,7,24,1,0.5294117647058824,O=C(CCN1CCCC1)NCCc1ccccc1,0,True,3.188963632203258
CCOC1=CC(N(C)C(=O)NC(=O)C2=C(NC(C)=O)C=CS2)=CC=C1CC(=O)O,0.6336798805171888,2.7185000000000006,2.592906596302141,O=C(NC(=O)c1cccs1)Nc1ccccc1,2.592906596302141,CCOc1cc(N(C)C(=O)NC(=O)c2sccc2NC(C)=O)ccc1CC(=O)O,0.6336798805171888,419.4590000000002,2.7185000000000006,125.04,6,3,7,29,2,0.2631578947368421,O=C(NC(=O)c1cccs1)Nc1ccccc1,0,True,2.592906596302141
O=C1NCCN1CC1=CC=C(OC2=CC=CC=C2)C=C1,0.9257572833728804,3.004100000000001,1.8741796806587117,O=C1NCCN1Cc1ccc(Oc2ccccc2)cc1,1.8741796806587117,O=C1NCCN1Cc1ccc(Oc2ccccc2)cc1,0.9257572833728804,268.31600000000003,3.004100000000001,41.57000000000001,2,1,4,20,2,0.1875,O=C1NCCN1Cc1ccc(Oc2ccccc2)cc1,0,True,1.8741796806587117
O=C(CN1CCOCC1)NCC1CCN(CC2=CC=C(OC3=CC=C(F)C=C3F)C=C2)CC1,0.6558227056637477,3.417500000000002,2.221993449244273,O=C(CN1CCOCC1)NCC1CCN(Cc2ccc(Oc3ccccc3)cc2)CC1,2.221993449244273,O=C(CN1CCOCC1)NCC1CCN(Cc2ccc(Oc3ccc(F)cc3F)cc2)CC1,0.6558227056637477,459.53700000000015,3.417500000000002,54.040000000000006,5,1,8,33,2,0.48,O=C(CN1CCOCC1)NCC1CCN(Cc2ccc(Oc3ccccc3)cc2)CC1,0,True,2.221993449244273
CC(C)CC(NC(=O)C(C)(C)CCC(=O)NCCN1C(C(=O)O)CC2=CC=CC=C2C1CCCN1CCCCC1)C(=O)O,0.2245180326219168,3.843200000000005,3.9203381623389895,c1ccc2c(c1)CCNC2CCCN1CCCCC1,3.9203381623389895,CC(C)CC(NC(=O)C(C)(C)CCC(=O)NCCN1C(C(=O)O)Cc2ccccc2C1CCCN1CCCCC1)C(=O)O,0.2245180326219168,600.8010000000002,3.843200000000005,139.28,6,4,16,43,1,0.696969696969697,c1ccc2c(c1)CCNC2CCCN1CCCCC1,0,True,3.9203381623389895
CCCC(CC(C)N1CCC(C(=O)NCC2=CC=C(NC(=O)C3=CC=CN=C3)C=C2)CC1)C(=O)NC(CO)C(=O)O,0.2325989656539021,2.4187000000000007,3.495158248696812,O=C(Nc1ccc(CNC(=O)C2CCNCC2)cc1)c1cccnc1,3.495158248696812,CCCC(CC(C)N1CCC(C(=O)NCc2ccc(NC(=O)c3cccnc3)cc2)CC1)C(=O)NC(CO)C(=O)O,0.2325989656539021,567.6870000000004,2.4187000000000007,160.96,7,5,14,41,2,0.5,O=C(Nc1ccc(CNC(=O)C2CCNCC2)cc1)c1cccnc1,0,True,3.495158248696812
CCOC(=O)C1=C(C)N=CS1,0.6346916278654746,1.62822,2.2080957209126133,c1cscn1,2.2080957209126133,CCOC(=O)c1scnc1C,0.6346916278654746,171.221,1.62822,39.19,4,0,2,11,1,0.4285714285714285,c1cscn1,0,True,2.2080957209126133
CC1=NN(C)C=C1C1CCCN1C1CCC(C(=N)O)CC1,0.6641970814803344,2.9594900000000006,3.4328228321598733,c1n[nH]cc1C1CCCN1C1CCCCC1,3.4328228321598733,Cc1nn(C)cc1C1CCCN1C1CCC(C(=N)O)CC1,0.6641970814803344,290.41100000000006,2.9594900000000006,65.14,4,2,3,21,1,0.75,c1n[nH]cc1C1CCCN1C1CCCCC1,0,True,3.4328228321598733
CC(C)(C)C1=CC(NC(=O)CN2C3=CC=C2CCC3)=NO1,0.9438960723637873,2.9010000000000016,3.6101400643856,O=C(Cn1c2ccc1CCC2)Nc1ccon1,3.6101400643856,CC(C)(C)c1cc(NC(=O)Cn2c3ccc2CCC3)no1,0.9438960723637873,287.363,2.9010000000000016,60.06,4,1,3,21,2,0.5,O=C(Cn1c2ccc1CCC2)Nc1ccon1,0,True,3.6101400643856
CC=C(C=N)C(=O)NN=CC1=CC(OC)=C(OC)C(OC)=C1,0.4558437436614473,1.7583699999999998,2.8398487418021414,c1ccccc1,2.8398487418021414,CC=C(C=N)C(=O)NN=Cc1cc(OC)c(OC)c(OC)c1,0.4558437436614473,305.33400000000006,1.7583699999999998,93.0,6,2,7,22,1,0.2666666666666666,c1ccccc1,0,True,2.8398487418021414
CCC(CC)C(=O)NC(C)C(=O)NC1CCNC1,0.6434535901741949,0.4054000000000013,3.050737477267804,C1CCNC1,3.050737477267804,CCC(CC)C(=O)NC(C)C(=O)NC1CCNC1,0.6434535901741949,255.362,0.4054000000000013,70.23,3,3,6,18,0,0.8461538461538461,C1CCNC1,0,True,3.050737477267804
CCC(=O)NC1=CC=C(NC(=O)CCCCCCC(=O)N(CCO)CCOC2=CC=C([N+](=O)[O-])C=C2CC(=O)O)C=C1,0.1079219170621604,3.7494000000000014,2.614839421787172,O=C(CCCCCCC(=O)Nc1ccccc1)NCCOc1ccccc1,2.614839421787172,CCC(=O)Nc1ccc(NC(=O)CCCCCCC(=O)N(CCO)CCOc2ccc([N+](=O)[O-])cc2CC(=O)O)cc1,0.1079219170621604,586.6420000000003,3.7494000000000014,188.41,8,4,19,42,2,0.4482758620689655,O=C(CCCCCCC(=O)Nc1ccccc1)NCCOc1ccccc1,0,True,2.614839421787172
ClC1=NC2=C(N=C(C3CC3)S2)C(N2CCNCC2)=N1,0.8592947042435459,2.0267,2.8575074050629787,c1nc(N2CCNCC2)c2nc(C3CC3)sc2n1,2.8575074050629787,Clc1nc(N2CCNCC2)c2nc(C3CC3)sc2n1,0.8592947042435459,295.79900000000004,2.0267,53.940000000000005,6,1,2,19,2,0.5833333333333334,c1nc(N2CCNCC2)c2nc(C3CC3)sc2n1,0,True,2.8575074050629787
CC1=CN(CC2=NC(C3=CC=NC(C(C)C)=C3)=NC=C2)C(=O)NC1=O,0.7842230391006785,1.86872,2.607435412000818,O=c1ccn(Cc2ccnc(-c3ccncc3)n2)c(=O)[nH]1,2.607435412000818,Cc1cn(Cc2ccnc(-c3ccnc(C(C)C)c3)n2)c(=O)[nH]c1=O,0.7842230391006785,337.3830000000001,1.86872,93.53,6,1,4,25,3,0.2777777777777778,O=c1ccn(Cc2ccnc(-c3ccncc3)n2)c(=O)[nH]1,0,True,2.607435412000818
CCCCNC(=O)C1=CC=C(NC(=O)CC2=CC=CC=C2)C=C1,0.770104647875255,3.397700000000002,1.518355856889917,O=C(Cc1ccccc1)Nc1ccccc1,1.518355856889917,CCCCNC(=O)c1ccc(NC(=O)Cc2ccccc2)cc1,0.770104647875255,310.397,3.397700000000002,58.2,2,2,7,23,2,0.2631578947368421,O=C(Cc1ccccc1)Nc1ccccc1,0,True,1.518355856889917
NS(=O)(=O)C1=CC=CC=C1C1=CC=C(CN2C=CC3=NC(N4CCN(C5CCCC5)CC4)=CC=C3C2=O)C=C1,0.3967988194523651,3.823800000000003,2.5508475813150966,O=c1c2ccc(N3CCN(C4CCCC4)CC3)nc2ccn1Cc1ccc(-c2ccccc2)cc1,2.5508475813150966,NS(=O)(=O)c1ccccc1-c1ccc(Cn2ccc3nc(N4CCN(C5CCCC5)CC4)ccc3c2=O)cc1,0.3967988194523651,543.6930000000004,3.823800000000003,101.53,7,1,6,39,4,0.3333333333333333,O=c1c2ccc(N3CCN(C4CCCC4)CC3)nc2ccn1Cc1ccc(-c2ccccc2)cc1,0,True,2.5508475813150966
CN(C)C1(CN2CCCC(CO)(COC(=O)C=CC3=CC(=O)NC=C3)C2)CCC1,0.5053044608295263,1.4901000000000002,3.75943807791067,O=C(C=Cc1cc[nH]c(=O)c1)OCC1CCCN(CC2CCC2)C1,3.75943807791067,CN(C)C1(CN2CCCC(CO)(COC(=O)C=Cc3cc[nH]c(=O)c3)C2)CCC1,0.5053044608295263,403.5230000000002,1.4901000000000002,85.87,6,2,8,29,1,0.6363636363636364,O=C(C=Cc1cc[nH]c(=O)c1)OCC1CCCN(CC2CCC2)C1,0,True,3.75943807791067
CCCC(=O)NCCC1=NC=C(C(=N)O)C=C1,0.5146014392321788,1.4237699999999998,2.3393232103184616,c1ccncc1,2.3393232103184616,CCCC(=O)NCCc1ccc(C(=N)O)cn1,0.5146014392321788,235.287,1.4237699999999998,86.07000000000001,3,3,6,17,1,0.4166666666666667,c1ccncc1,0,True,2.3393232103184616
O=C1NC2=CC=C(F)C=C2C(=O)N1C1=CC=C(OCC2=CC=C(F)C=C2)C=C1,0.5890957138573204,3.5362000000000027,2.016818313893433,O=c1[nH]c2ccccc2c(=O)n1-c1ccc(OCc2ccccc2)cc1,2.016818313893433,O=c1[nH]c2ccc(F)cc2c(=O)n1-c1ccc(OCc2ccc(F)cc2)cc1,0.5890957138573204,380.3500000000001,3.5362000000000027,64.09,4,1,4,28,4,0.0476190476190476,O=c1[nH]c2ccccc2c(=O)n1-c1ccc(OCc2ccccc2)cc1,0,True,2.016818313893433
CN(C)C(=N)NC1=CC=C2N=CC=CC2=C1,0.5645851078454603,2.14307,2.3706930907329458,c1ccc2ncccc2c1,2.3706930907329458,CN(C)C(=N)Nc1ccc2ncccc2c1,0.5645851078454603,214.272,2.14307,52.010000000000005,2,2,1,16,2,0.1666666666666666,c1ccc2ncccc2c1,0,True,2.3706930907329458
O=C(COC1=CC=C(CNC(=O)C2=CCCC(N3CCCC3)C2)C=C1)OCC1=CC=CO1,0.6028700832405842,3.5927000000000024,3.0387080211712707,O=C(COc1ccc(CNC(=O)C2=CCCC(N3CCCC3)C2)cc1)OCc1ccco1,3.0387080211712707,O=C(COc1ccc(CNC(=O)C2=CCCC(N3CCCC3)C2)cc1)OCc1ccco1,0.6028700832405842,438.5240000000003,3.5927000000000024,81.01,6,1,9,32,2,0.44,O=C(COc1ccc(CNC(=O)C2=CCCC(N3CCCC3)C2)cc1)OCc1ccco1,0,True,3.0387080211712707
O=C(NCCOCCNC(=NCN1CCCC1)C1=CC=CC=C1)C1=CC=C(NC(=O)C2=CC=C(F)C=C2)C=C1,0.1871794813657152,3.914100000000003,2.54359831041832,O=C(NCCOCCNC(=NCN1CCCC1)c1ccccc1)c1ccc(NC(=O)c2ccccc2)cc1,2.54359831041832,O=C(NCCOCCNC(=NCN1CCCC1)c1ccccc1)c1ccc(NC(=O)c2ccc(F)cc2)cc1,0.1871794813657152,531.6320000000002,3.914100000000003,95.06,5,3,12,39,3,0.3,O=C(NCCOCCNC(=NCN1CCCC1)c1ccccc1)c1ccc(NC(=O)c2ccccc2)cc1,0,True,2.54359831041832
CCCCOC(=O)CC1=C(C(=O)OCC)SC(C2=CC=CC=C2)=N1,0.5355516289262512,3.872600000000003,2.1787814465239546,c1ccc(-c2nccs2)cc1,2.1787814465239546,CCCCOC(=O)Cc1nc(-c2ccccc2)sc1C(=O)OCC,0.5355516289262512,347.43600000000004,3.872600000000003,65.49000000000001,6,0,8,24,2,0.3888888888888889,c1ccc(-c2nccs2)cc1,0,True,2.1787814465239546
CC1=CC(NCCC2=CC(C)=C(Cl)C(C(F)(F)F)=C2C)=CC(C)=N1,0.7661254138468843,5.642080000000004,2.7674772751438645,c1ccc(CCNc2ccncc2)cc1,2.7674772751438645,Cc1cc(NCCc2cc(C)c(Cl)c(C(F)(F)F)c2C)cc(C)n1,0.7661254138468843,356.8190000000001,5.642080000000004,24.92,2,1,4,24,2,0.3888888888888889,c1ccc(CCNc2ccncc2)cc1,0,True,2.7674772751438645
CC1=CC=C(NC(=O)C2=CC=C(NC(=O)C3=CC=CN=C3)C=C2)C=C1,0.7615963602134714,3.8946200000000015,1.5969396977151042,O=C(Nc1ccccc1)c1ccc(NC(=O)c2cccnc2)cc1,1.5969396977151042,Cc1ccc(NC(=O)c2ccc(NC(=O)c3cccnc3)cc2)cc1,0.7615963602134714,331.37500000000006,3.8946200000000015,71.09,3,2,4,25,3,0.05,O=C(Nc1ccccc1)c1ccc(NC(=O)c2cccnc2)cc1,0,True,1.5969396977151042
O=C1NC(C(=O)NCCCCCCCCCCCCCCCCC2=CC=CO2)CC2=CC=CC=C12,0.2317151759139306,6.754400000000007,2.949122137442816,O=C1NC(C(=O)NCCCCCCCCCCCCCCCCc2ccco2)Cc2ccccc21,2.949122137442816,O=C1NC(C(=O)NCCCCCCCCCCCCCCCCc2ccco2)Cc2ccccc21,0.2317151759139306,480.69300000000027,6.754400000000007,71.34,3,2,18,35,2,0.6,O=C1NC(C(=O)NCCCCCCCCCCCCCCCCc2ccco2)Cc2ccccc21,0,True,2.949122137442816
CC(NC1=C(Cl)C=NO1)C1=C(OCC2=CC=CC=C2)C2=CC=C(O)C=C2OC1=O,0.4347639653066213,4.892100000000004,3.3065025614859964,O=c1oc2ccccc2c(OCc2ccccc2)c1CNc1ccno1,3.3065025614859964,CC(Nc1oncc1Cl)c1c(OCc2ccccc2)c2ccc(O)cc2oc1=O,0.4347639653066213,412.8290000000001,4.892100000000004,97.73000000000002,7,2,6,29,4,0.1428571428571428,O=c1oc2ccccc2c(OCc2ccccc2)c1CNc1ccno1,0,True,3.3065025614859964
CN(C)C(=NCC1=NC2=CC=CC=C2N1)SCC(=O)N(C)CC(=O)NC(C)(C)C,0.5534081114732667,2.0867999999999998,2.9856518738094437,c1ccc2[nH]cnc2c1,2.9856518738094437,CN(C)C(=NCc1nc2ccccc2[nH]1)SCC(=O)N(C)CC(=O)NC(C)(C)C,0.5534081114732667,418.5670000000003,2.0867999999999998,93.69,5,2,6,29,2,0.5,c1ccc2[nH]cnc2c1,0,True,2.9856518738094437
N=C(N)C1=CC(CC(N)C(=O)NC(CS)C(=O)N2CCNC(=O)C2)=CC=C1F,0.1805987449149963,-1.647429999999997,3.419844261723897,O=C(CCc1ccccc1)NCC(=O)N1CCNC(=O)C1,3.419844261723897,N=C(N)c1cc(CC(N)C(=O)NC(CS)C(=O)N2CCNC(=O)C2)ccc1F,0.1805987449149963,410.4750000000002,-1.647429999999997,154.39999999999998,6,6,7,28,1,0.4117647058823529,O=C(CCc1ccccc1)NCC(=O)N1CCNC(=O)C1,0,True,3.419844261723897
O=C(NC1=CC=C(O)C=C1)C(=NOCC1CC1)C1=CC=CC=C1,0.4889352415303672,3.1616000000000017,2.199974738008798,O=C(Nc1ccccc1)C(=NOCC1CC1)c1ccccc1,2.199974738008798,O=C(Nc1ccc(O)cc1)C(=NOCC1CC1)c1ccccc1,0.4889352415303672,310.35299999999995,3.1616000000000017,70.92,4,2,6,23,2,0.2222222222222222,O=C(Nc1ccccc1)C(=NOCC1CC1)c1ccccc1,0,True,2.199974738008798
CCCOC1=CC(C2CC3=NN=C(N2)N3C(=O)N(CC)CC(F)(F)F)=CC=C1O,0.7548019654864188,3.3341000000000025,4.414552998975501,c1ccc(C2Cc3nnc([nH]3)N2)cc1,4.414552998975501,CCCOc1cc(C2Cc3nnc(n3C(=O)N(CC)CC(F)(F)F)N2)ccc1O,0.7548019654864188,413.40000000000015,3.3341000000000025,92.51,7,2,6,29,2,0.5,c1ccc(C2Cc3nnc([nH]3)N2)cc1,0,True,4.414552998975501
CC1CCN(C(=O)COC(=O)C2=CC=CC3=CC=CC=C32)CC1,0.8174800635510682,3.2551000000000023,1.8409586540927163,O=C(OCC(=O)N1CCCCC1)c1cccc2ccccc12,1.8409586540927163,CC1CCN(C(=O)COC(=O)c2cccc3ccccc23)CC1,0.8174800635510682,311.3810000000001,3.2551000000000023,46.61,3,0,3,23,2,0.3684210526315789,O=C(OCC(=O)N1CCCCC1)c1cccc2ccccc12,0,True,1.8409586540927163
