Mol,QED,logP,SA,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,heavy_score,method
O=C(O)C1=CC=C(S(=O)(=O)NCC2=CC=C(F)C=C2)C=C1,0.8846334188663416,2.0024,1.6404698803791202,O=S(=O)(NCc1ccccc1)c1ccccc1,1.6404698803791202,O=C(O)c1ccc(S(=O)(=O)NCc2ccc(F)cc2)cc1,0.8846334188663416,309.318,2.0024,83.47,3,2,5,21,2,0.0714285714285714,O=S(=O)(NCc1ccccc1)c1ccccc1,0,True,1.6404698803791202,-0.7570364615127787,heavy
CCNC1CCN(CC(=O)NC2=CC=C(C)C=C2)CC1,0.863750115600656,2.00742,1.7564145808165392,O=C(CN1CCCCC1)Nc1ccccc1,1.7564145808165392,CCNC1CCN(CC(=O)Nc2ccc(C)cc2)CC1,0.863750115600656,275.39600000000013,2.00742,44.370000000000005,3,2,5,20,1,0.5625,O=C(CN1CCCCC1)Nc1ccccc1,0,True,1.7564145808165392,-0.8963744652158834,heavy
COC1=CC=C(CNC(=O)OC(C)(C)C)C=C1,0.8788688032061295,2.719900000000001,1.574089324315473,c1ccccc1,1.574089324315473,COc1ccc(CNC(=O)OC(C)(C)C)cc1,0.8788688032061295,237.299,2.719900000000001,47.56,3,1,3,17,1,0.4615384615384615,c1ccccc1,0,True,1.574089324315473,-1.055170521109344,heavy
CCCCCNC(=O)COC1=CC=C(NC(C)=O)C=C1,0.7171299286426199,2.3302000000000005,1.6167624986881393,c1ccccc1,1.6167624986881393,CCCCCNC(=O)COc1ccc(NC(C)=O)cc1,0.7171299286426199,278.352,2.3302000000000005,67.43,3,2,8,20,1,0.4666666666666667,c1ccccc1,0,True,1.6167624986881393,-1.0647325700455195,heavy
NCC1=CC=CC=C1,0.5719431747561196,1.1453,1.2234273938600708,c1ccccc1,1.2234273938600708,NCc1ccccc1,0.5719431747561196,107.15599999999996,1.1453,26.02,1,1,1,8,1,0.1428571428571428,c1ccccc1,0,True,1.2234273938600708,-1.0788342191039513,heavy
CNC1=CC=C(Cl)C=C1C(=O)OC,0.7423556353859442,2.1682999999999995,1.744634914843992,c1ccccc1,1.744634914843992,CNc1ccc(Cl)cc1C(=O)OC,0.7423556353859442,199.637,2.1682999999999995,38.33,3,1,2,13,1,0.2222222222222222,c1ccccc1,0,True,1.744634914843992,-1.0864292794580475,heavy
CCN(CCC1=CC=CC=C1)CC(=O)O,0.7704946431103136,1.6356000000000002,1.696840811111608,c1ccccc1,1.696840811111608,CCN(CCc1ccccc1)CC(=O)O,0.7704946431103136,207.273,1.6356000000000002,40.540000000000006,2,1,6,15,1,0.4166666666666667,c1ccccc1,0,True,1.696840811111608,-1.1085461680012942,heavy
O=C(C1=NOC(C2=CC=CC=C2)=C1)N1CCC(O)CC1,0.9068860651427568,1.9385,2.0167521349139843,O=C(c1cc(-c2ccccc2)on1)N1CCCCC1,2.0167521349139843,O=C(c1cc(-c2ccccc2)on1)N1CCC(O)CC1,0.9068860651427568,272.3040000000001,1.9385,66.57000000000001,4,1,2,20,2,0.3333333333333333,O=C(c1cc(-c2ccccc2)on1)N1CCCCC1,0,True,2.0167521349139843,-1.1406160697712275,heavy
O=C(O)COC1=CC=C(C=NNC(=O)C2=CC=CC=C2)C=C1,0.6296498132019033,1.9139,1.7439870934504942,O=C(NN=Cc1ccccc1)c1ccccc1,1.7439870934504942,O=C(O)COc1ccc(C=NNC(=O)c2ccccc2)cc1,0.6296498132019033,298.298,1.9139,87.99000000000001,4,2,6,22,2,0.0625,O=C(NN=Cc1ccccc1)c1ccccc1,0,True,1.7439870934504942,-1.157387280248591,heavy
CC1=CC=C(S(=O)(=O)CCNC(=O)OC(C)(C)C)C=C1,0.9255640601926448,2.29342,1.937015359977794,c1ccccc1,1.937015359977794,Cc1ccc(S(=O)(=O)CCNC(=O)OC(C)(C)C)cc1,0.9255640601926448,299.392,2.29342,72.47,4,1,4,20,1,0.5,c1ccccc1,0,True,1.937015359977794,-1.1581612997851491,heavy
N#CC1=CC=C(F)C=C1,0.5120610208888526,1.69738,1.518962776456327,c1ccccc1,1.518962776456327,N#Cc1ccc(F)cc1,0.5120610208888526,121.11399999999998,1.69738,23.79,1,0,0,9,1,0.0,c1ccccc1,0,True,1.518962776456327,-1.1582117555674745,heavy
CCOC(=O)C1=CC=C(C(=O)NC2=CC=C(F)C=C2)C=C1,0.8781220611878047,3.254700000000001,1.4292475317750633,O=C(Nc1ccccc1)c1ccccc1,1.4292475317750633,CCOC(=O)c1ccc(C(=O)Nc2ccc(F)cc2)cc1,0.8781220611878047,287.29,3.254700000000001,55.400000000000006,3,1,4,21,2,0.125,O=C(Nc1ccccc1)c1ccccc1,0,True,1.4292475317750633,-1.178475470587259,heavy
CC(=O)CS(=O)(=O)CCNC(=O)C1=CC=C(C2=CC=CC=C2)C=C1,0.8330968934752977,2.0872,1.9733542735652208,c1ccc(-c2ccccc2)cc1,1.9733542735652208,CC(=O)CS(=O)(=O)CCNC(=O)c1ccc(-c2ccccc2)cc1,0.8330968934752977,345.42,2.0872,80.31,4,1,7,24,2,0.2222222222222222,c1ccc(-c2ccccc2)cc1,0,True,1.9733542735652208,-1.1838573800899233,heavy
