Mol,QED,logP,SA,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,lite_score,method
CC1=CC=C(OCC(=O)NC2=CC=CC=C2C)C(Cl)=C1,0.9245557654278664,3.9743400000000015,1.557384751435395,O=C(COc1ccccc1)Nc1ccccc1,1.557384751435395,Cc1ccc(OCC(=O)Nc2ccccc2C)c(Cl)c1,0.9245557654278664,289.76200000000006,3.9743400000000015,38.33,2,1,4,20,2,0.1875,O=C(COc1ccccc1)Nc1ccccc1,0,True,1.557384751435395,0.9724612824333034,lite
CC(=O)NC1CCN(C(=O)C2=CC(C3=CC=CC=C3)=CN2C)CC1,0.9421770684909216,2.4328000000000003,2.135807464623502,O=C(c1cc(-c2ccccc2)c[nH]1)N1CCCCC1,2.135807464623502,CC(=O)NC1CCN(C(=O)c2cc(-c3ccccc3)cn2C)CC1,0.9421770684909216,325.41200000000015,2.4328000000000003,54.34,3,1,3,24,2,0.3684210526315789,O=C(c1cc(-c2ccccc2)c[nH]1)N1CCCCC1,0,True,2.135807464623502,0.9677611127786937,lite
CC1=CC=C(S(=O)(=O)CCNC(=O)OC(C)(C)C)C=C1,0.9255640601926448,2.29342,1.937015359977794,c1ccccc1,1.937015359977794,Cc1ccc(S(=O)(=O)CCNC(=O)OC(C)(C)C)cc1,0.9255640601926448,299.392,2.29342,72.47,4,1,4,20,1,0.5,c1ccccc1,0,True,1.937015359977794,0.9599479523321451,lite
CCC1=CC=C(CNS(=O)(=O)C2=C(C)C=C(C)C=C2C)C=C1,0.914652427486706,3.6527600000000016,1.8875356648790635,O=S(=O)(NCc1ccccc1)c1ccccc1,1.8875356648790635,CCc1ccc(CNS(=O)(=O)c2c(C)cc(C)cc2C)cc1,0.914652427486706,317.454,3.6527600000000016,46.17,2,1,5,22,2,0.3333333333333333,O=S(=O)(NCc1ccccc1)c1ccccc1,0,True,1.8875356648790635,0.9519509592511313,lite
COC(=O)N1CCC(CNC(=O)CC2=CC=C3C=C(C)C=CC3=C2)CC1,0.9165483499944008,3.2853200000000022,2.0939064125405835,O=C(Cc1ccc2ccccc2c1)NCC1CCNCC1,2.0939064125405835,COC(=O)N1CCC(CNC(=O)Cc2ccc3cc(C)ccc3c2)CC1,0.9165483499944008,354.45000000000016,3.2853200000000022,58.64,3,1,4,26,2,0.4285714285714285,O=C(Cc1ccc2ccccc2c1)NCC1CCNCC1,0,True,2.0939064125405835,0.946352335526827,lite
O=C(NC1=CC=C(CN2CCCC2)C=C1)C1CCC2=CC=CC=C2O1,0.927158155245341,3.614700000000002,2.4170763445180388,O=C(Nc1ccc(CN2CCCC2)cc1)C1CCc2ccccc2O1,2.4170763445180388,O=C(Nc1ccc(CN2CCCC2)cc1)C1CCc2ccccc2O1,0.927158155245341,336.435,3.614700000000002,41.57000000000001,3,1,4,25,2,0.3809523809523809,O=C(Nc1ccc(CN2CCCC2)cc1)C1CCc2ccccc2O1,0,True,2.4170763445180388,0.9444092051540134,lite
CCCC(=O)NC1=CC=NC2=CC(Cl)=CC=C21,0.901364042904085,3.626800000000002,1.8165290818405568,c1ccc2ncccc2c1,1.8165290818405568,CCCC(=O)Nc1ccnc2cc(Cl)ccc12,0.901364042904085,248.713,3.626800000000002,41.99,2,1,3,17,2,0.2307692307692307,c1ccc2ncccc2c1,0,True,1.8165290818405568,0.9425918914189508,lite
O=C(NCN1CCC2=CC=CC=C2C1)NC1=CC=C(F)C=C1F,0.9134772690228088,3.102100000000001,2.149274738008799,O=C(NCN1CCc2ccccc2C1)Nc1ccccc1,2.149274738008799,O=C(NCN1CCc2ccccc2C1)Nc1ccc(F)cc1F,0.9134772690228088,317.33900000000006,3.102100000000001,44.370000000000005,2,2,3,23,2,0.2352941176470588,O=C(NCN1CCc2ccccc2C1)Nc1ccccc1,0,True,2.149274738008799,0.9416531355524448,lite
O=C(C1=NOC(C2=CC=CC=C2)=C1)N1CCC(O)CC1,0.9068860651427568,1.9385,2.0167521349139843,O=C(c1cc(-c2ccccc2)on1)N1CCCCC1,2.0167521349139843,O=C(c1cc(-c2ccccc2)on1)N1CCC(O)CC1,0.9068860651427568,272.3040000000001,1.9385,66.57000000000001,4,1,2,20,2,0.3333333333333333,O=C(c1cc(-c2ccccc2)on1)N1CCCCC1,0,True,2.0167521349139843,0.9404490019534117,lite
COC1=CC=C(NC(=O)C2=CC=C(N3CCN(C(C)C)CC3)C=C2)C=C1,0.893840307057077,3.4779000000000027,1.751234686968857,O=C(Nc1ccccc1)c1ccc(N2CCNCC2)cc1,1.751234686968857,COc1ccc(NC(=O)c2ccc(N3CCN(C(C)C)CC3)cc2)cc1,0.893840307057077,353.4660000000001,3.4779000000000027,44.81,4,1,5,26,2,0.3809523809523809,O=C(Nc1ccccc1)c1ccc(N2CCNCC2)cc1,0,True,1.751234686968857,0.938179464339172,lite
