Mol,QED,logP,SA,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,lipinski_violations_calc,method,rank_qed
CC1=CC=C(NC(=O)N2CCN(CC3=CC=CS3)CC2)C=C1,0.9419755777142303,3.406220000000002,1.8378457129559875,O=C(Nc1ccccc1)N1CCN(Cc2cccs2)CC1,1.8378457129559875,Cc1ccc(NC(=O)N2CCN(Cc3cccs3)CC2)cc1,0.9419755777142303,315.44200000000006,3.406220000000002,35.580000000000005,3,1,3,22,2,0.3529411764705882,O=C(Nc1ccccc1)N1CCN(Cc2cccs2)CC1,0,True,1.8378457129559875,0,qed,1
CCS(=O)(=O)C=CC1=NC2=CC=C(Cl)C=C2C(=O)N1,0.9393791123589804,1.9819,2.778165215713866,O=c1[nH]cnc2ccccc12,2.778165215713866,CCS(=O)(=O)C=Cc1nc2ccc(Cl)cc2c(=O)[nH]1,0.9393791123589804,298.75100000000003,1.9819,79.88999999999999,4,1,3,19,2,0.1666666666666666,O=c1[nH]cnc2ccccc12,0,True,2.778165215713866,0,qed,2
COC1=CC2=C(C=C1OC)C(CN(C)C)C1=CC=C(O)C=C1O2,0.938702786320192,3.2086000000000023,2.887925776585499,c1ccc2c(c1)Cc1ccccc1O2,2.887925776585499,COc1cc2c(cc1OC)C(CN(C)C)c1ccc(O)cc1O2,0.938702786320192,315.369,3.2086000000000023,51.16000000000001,5,1,4,23,2,0.3333333333333333,c1ccc2c(c1)Cc1ccccc1O2,0,True,2.887925776585499,0,qed,3
CN1CCN(C2=CC=C(C(=O)NC3=CC=C(Cl)C=C3)C=C2)CC1,0.9377242433785756,3.344100000000002,1.6302013114353713,O=C(Nc1ccccc1)c1ccc(N2CCNCC2)cc1,1.6302013114353713,CN1CCN(c2ccc(C(=O)Nc3ccc(Cl)cc3)cc2)CC1,0.9377242433785756,329.8310000000001,3.344100000000002,35.58,3,1,3,23,2,0.2777777777777778,O=C(Nc1ccccc1)c1ccc(N2CCNCC2)cc1,0,True,1.6302013114353713,0,qed,4
FC(F)(F)OC1=CC=C(C2CN(CC3=CC=CO3)CCN2)C=C1,0.9351922141707654,3.324700000000001,2.8121232634736124,c1ccc(C2CN(Cc3ccco3)CCN2)cc1,2.8121232634736124,FC(F)(F)Oc1ccc(C2CN(Cc3ccco3)CCN2)cc1,0.9351922141707654,326.3180000000001,3.324700000000001,37.64,4,1,4,23,2,0.375,c1ccc(C2CN(Cc3ccco3)CCN2)cc1,0,True,2.8121232634736124,0,qed,5
CC1=C(NCC2CCC(C)N2C)OC(C2=CC=CC=C2)=N1,0.9325338978408372,3.5446200000000028,3.355889203890163,c1ccc(-c2ncc(NCC3CCCN3)o2)cc1,3.355889203890163,Cc1nc(-c2ccccc2)oc1NCC1CCC(C)N1C,0.9325338978408372,285.391,3.5446200000000028,41.3,4,1,4,21,2,0.4705882352941176,c1ccc(-c2ncc(NCC3CCCN3)o2)cc1,0,True,3.355889203890163,0,qed,6
C1=NC2=CC(CCN3CCC4(CCCC4)CC3)=CC=C2N1,0.9297605371938522,3.7616000000000014,2.9372082298130664,c1nc2cc(CCN3CCC4(CCCC4)CC3)ccc2[nH]1,2.9372082298130664,c1nc2cc(CCN3CCC4(CCCC4)CC3)ccc2[nH]1,0.9297605371938522,283.4189999999999,3.7616000000000014,31.92,2,1,3,21,2,0.6111111111111112,c1nc2cc(CCN3CCC4(CCCC4)CC3)ccc2[nH]1,0,True,2.9372082298130664,0,qed,7
COC1=CC=C(C2=NN=C(C3CCCCC3)O2)C=C1O,0.927298019330177,3.498500000000003,2.17051844791133,c1ccc(-c2nnc(C3CCCCC3)o2)cc1,2.17051844791133,COc1ccc(-c2nnc(C3CCCCC3)o2)cc1O,0.927298019330177,274.31999999999994,3.498500000000003,68.38000000000001,5,1,3,20,2,0.4666666666666667,c1ccc(-c2nnc(C3CCCCC3)o2)cc1,0,True,2.17051844791133,0,qed,8
CC1CC(NS(=O)(=O)C2=CC=CC=C2)CC(C)(C)O1,0.9258619561066012,2.311000000000001,3.006270089112689,O=S(=O)(NC1CCOCC1)c1ccccc1,3.006270089112689,CC1CC(NS(=O)(=O)c2ccccc2)CC(C)(C)O1,0.9258619561066012,283.39300000000003,2.311000000000001,55.400000000000006,3,1,3,19,1,0.5714285714285714,O=S(=O)(NC1CCOCC1)c1ccccc1,0,True,3.006270089112689,0,qed,9
COC1=CC=C2N=C(NC3=CC=C4OCOC4=C3)COC2=C1,0.9232917579005662,2.958400000000001,2.609721227009242,c1ccc2c(c1)N=C(Nc1ccc3c(c1)OCO3)CO2,2.609721227009242,COc1ccc2c(c1)OCC(Nc1ccc3c(c1)OCO3)=N2,0.9232917579005662,298.29800000000006,2.958400000000001,61.31,6,1,2,22,2,0.1875,c1ccc2c(c1)N=C(Nc1ccc3c(c1)OCO3)CO2,0,True,2.609721227009242,0,qed,10
CC(C)CN1CCC(C(=O)NC2=NC3=CC(Cl)=CC=C3N2C)CC1,0.9190650508428732,3.5332000000000017,2.22142568573514,O=C(Nc1nc2ccccc2[nH]1)C1CCNCC1,2.22142568573514,CC(C)CN1CCC(C(=O)Nc2nc3cc(Cl)ccc3n2C)CC1,0.9190650508428732,348.87800000000016,3.5332000000000017,50.16,4,1,4,24,2,0.5555555555555556,O=C(Nc1nc2ccccc2[nH]1)C1CCNCC1,0,True,2.22142568573514,0,qed,11
CC1=CN(CC2=CC=C(Br)C=C2)C(=O)NC1=O,0.9157225683840516,1.6558199999999996,1.973513717683435,O=c1ccn(Cc2ccccc2)c(=O)[nH]1,1.973513717683435,Cc1cn(Cc2ccc(Br)cc2)c(=O)[nH]c1=O,0.9157225683840516,295.136,1.6558199999999996,54.86,3,1,2,17,2,0.1666666666666666,O=c1ccn(Cc2ccccc2)c(=O)[nH]1,0,True,1.973513717683435,0,qed,12
CC1=CNN=C1NC(=O)COC1=CC=C(Cl)C=C1Cl,0.9116609673917748,3.042420000000001,2.4851278985317737,O=C(COc1ccccc1)Nc1cc[nH]n1,2.4851278985317737,Cc1c[nH]nc1NC(=O)COc1ccc(Cl)cc1Cl,0.9116609673917748,300.145,3.042420000000001,67.01,3,2,4,19,2,0.1666666666666666,O=C(COc1ccccc1)Nc1cc[nH]n1,0,True,2.4851278985317737,0,qed,13
O=C(O)C1=CC=C(C2CC3=CC=C(F)C=C3CO2)C=C1,0.9116457196119324,3.337900000000002,2.5842326314929824,c1ccc(C2Cc3ccccc3CO2)cc1,2.5842326314929824,O=C(O)c1ccc(C2Cc3ccc(F)cc3CO2)cc1,0.9116457196119324,272.275,3.337900000000002,46.53,2,1,2,20,2,0.1875,c1ccc(C2Cc3ccccc3CO2)cc1,0,True,2.5842326314929824,0,qed,14
COC(=O)NC1=NC(OC2=CN=CC(Cl)=C2)=CC(N2CCCC2)=N1,0.9065090133457834,3.095800000000001,2.5372361484716244,c1cncc(Oc2cc(N3CCCC3)ncn2)c1,2.5372361484716244,COC(=O)Nc1nc(Oc2cncc(Cl)c2)cc(N2CCCC2)n1,0.9065090133457834,349.7780000000002,3.095800000000001,89.47,7,1,4,24,2,0.3333333333333333,c1cncc(Oc2cc(N3CCCC3)ncn2)c1,0,True,2.5372361484716244,0,qed,15
O=C(COC1=CC=CC=C1)NC(=O)C1CCCCC1,0.9043434966601346,2.2885,1.71153677569235,O=C(COc1ccccc1)NC(=O)C1CCCCC1,1.71153677569235,O=C(COc1ccccc1)NC(=O)C1CCCCC1,0.9043434966601346,261.321,2.2885,55.4,3,1,4,19,1,0.4666666666666667,O=C(COc1ccccc1)NC(=O)C1CCCCC1,0,True,1.71153677569235,0,qed,16
CC1=C(N)SC(C(=O)NCC2=CC=C3OCCOC3=C2)=N1,0.9016728449863214,1.73492,2.4700428512014003,O=C(NCc1ccc2c(c1)OCCO2)c1nccs1,2.4700428512014003,Cc1nc(C(=O)NCc2ccc3c(c2)OCCO3)sc1N,0.9016728449863214,305.359,1.73492,86.47000000000001,6,2,3,21,2,0.2857142857142857,O=C(NCc1ccc2c(c1)OCCO2)c1nccs1,0,True,2.4700428512014003,0,qed,17
COC1=CC(Cl)=CC=C1OC1=CC(O)=CC=C1C(=O)O,0.9016542190900132,3.544700000000001,1.896975655531298,c1ccc(Oc2ccccc2)cc1,1.896975655531298,COc1cc(Cl)ccc1Oc1cc(O)ccc1C(=O)O,0.9016542190900132,294.69000000000005,3.544700000000001,75.99,4,2,4,20,2,0.0714285714285714,c1ccc(Oc2ccccc2)cc1,0,True,1.896975655531298,0,qed,18
CCNC1=CC=C2OC(C(=O)N3CCN(CC(F)(F)F)CC3)=C(C)C2=C1,0.8963474439296957,3.493120000000002,2.41927948946366,O=C(c1cc2ccccc2o1)N1CCNCC1,2.41927948946366,CCNc1ccc2oc(C(=O)N3CCN(CC(F)(F)F)CC3)c(C)c2c1,0.8963474439296957,369.38700000000006,3.493120000000002,48.720000000000006,4,1,4,26,2,0.5,O=C(c1cc2ccccc2o1)N1CCNCC1,0,True,2.41927948946366,0,qed,19
CCNC(=O)C(C)OC1=CC=C2C=CC=CC2=C1,0.8962927319903702,2.7432000000000016,2.1338859177257525,c1ccc2ccccc2c1,2.1338859177257525,CCNC(=O)C(C)Oc1ccc2ccccc2c1,0.8962927319903702,243.306,2.7432000000000016,38.33,2,1,4,18,2,0.2666666666666666,c1ccc2ccccc2c1,0,True,2.1338859177257525,0,qed,20
CC1=C(C#N)C=C(NC(=O)NC2CCCCC2)N1CC#N,0.8934769388166067,2.6459800000000007,2.831912199310917,O=C(Nc1ccc[nH]1)NC1CCCCC1,2.831912199310917,Cc1c(C#N)cc(NC(=O)NC2CCCCC2)n1CC#N,0.8934769388166067,285.351,2.6459800000000007,93.64,4,2,3,21,1,0.5333333333333333,O=C(Nc1ccc[nH]1)NC1CCCCC1,0,True,2.831912199310917,0,qed,21
NS(=O)(=O)C1=CC=C(OC2=CC=C3OCC(=O)NC3=C2)C=C1,0.8898175079822243,1.4571999999999998,2.1302533820006517,O=C1COc2ccc(Oc3ccccc3)cc2N1,2.1302533820006517,NS(=O)(=O)c1ccc(Oc2ccc3c(c2)NC(=O)CO3)cc1,0.8898175079822243,320.326,1.4571999999999998,107.72,5,2,3,22,2,0.0714285714285714,O=C1COc2ccc(Oc3ccccc3)cc2N1,0,True,2.1302533820006517,0,qed,22
BrC1=CC=C(C=CC2=NN=NN2)C=C1,0.88895504506614,2.1326,2.756624300513902,C(=Cc1nnn[nH]1)c1ccccc1,2.756624300513902,Brc1ccc(C=Cc2nnn[nH]2)cc1,0.88895504506614,251.087,2.1326,54.46,3,1,2,14,2,0.0,C(=Cc1nnn[nH]1)c1ccccc1,0,True,2.756624300513902,0,qed,23
CC(C)(C)C(=O)NC(CC=CC1=CC=NO1)CC1=CC=CN=C1,0.8886327161000994,3.246500000000002,3.379625565786683,C(=Cc1ccno1)CCCc1cccnc1,3.379625565786683,CC(C)(C)C(=O)NC(CC=Cc1ccno1)Cc1cccnc1,0.8886327161000994,313.401,3.246500000000002,68.02000000000001,4,1,6,23,2,0.3888888888888889,C(=Cc1ccno1)CCCc1cccnc1,0,True,3.379625565786683,0,qed,24
C1=CC=C(NC2=NN=C(N3CCOCC3)O2)C=C1,0.8880331390772053,1.6497999999999995,2.283676964453452,c1ccc(Nc2nnc(N3CCOCC3)o2)cc1,2.283676964453452,c1ccc(Nc2nnc(N3CCOCC3)o2)cc1,0.8880331390772053,246.26999999999995,1.6497999999999995,63.42,6,1,3,18,2,0.3333333333333333,c1ccc(Nc2nnc(N3CCOCC3)o2)cc1,0,True,2.283676964453452,0,qed,25
O=C(NCC(O)CN1CCC2=CC=CC=C2C1)C1=CC=CC=C1,0.8858199114016212,1.8355999999999992,2.329804267544169,O=C(NCCCN1CCc2ccccc2C1)c1ccccc1,2.329804267544169,O=C(NCC(O)CN1CCc2ccccc2C1)c1ccccc1,0.8858199114016212,310.397,1.8355999999999992,52.57,3,2,5,23,2,0.3157894736842105,O=C(NCCCN1CCc2ccccc2C1)c1ccccc1,0,True,2.329804267544169,0,qed,26
FC(F)C1(F)CCC(C2=C(Br)NC=N2)CC1,0.8833446633932484,3.803200000000002,3.7055054683553257,c1nc(C2CCCCC2)c[nH]1,3.7055054683553257,FC(F)C1(F)CCC(c2nc[nH]c2Br)CC1,0.8833446633932484,297.1180000000001,3.803200000000002,28.68,1,1,2,16,1,0.7,c1nc(C2CCCCC2)c[nH]1,0,True,3.7055054683553257,0,qed,27
CC1CC2=CC=CC=C2CN1C(=O)C(CC1=CC=CC=C1)NC(=O)C(C)(C)C,0.8811966102530338,3.7334000000000014,2.912501471315924,O=C(CCc1ccccc1)N1CCc2ccccc2C1,2.912501471315924,CC1Cc2ccccc2CN1C(=O)C(Cc1ccccc1)NC(=O)C(C)(C)C,0.8811966102530338,378.5160000000001,3.7334000000000014,49.41,2,1,4,28,2,0.4166666666666667,O=C(CCc1ccccc1)N1CCc2ccccc2C1,0,True,2.912501471315924,0,qed,28
O=C(O)CCCC1=NC2=CC=CC=C2N1C12CC3CC(CC(C3)C1)C2,0.8805885795411882,4.368900000000004,3.715595162096061,c1ccc2c(c1)ncn2C12CC3CC(CC(C3)C1)C2,3.715595162096061,O=C(O)CCCc1nc2ccccc2n1C12CC3CC(CC(C3)C1)C2,0.8805885795411882,338.4510000000002,4.368900000000004,55.12,3,1,5,25,2,0.6190476190476191,c1ccc2c(c1)ncn2C12CC3CC(CC(C3)C1)C2,0,True,3.715595162096061,0,qed,29
COC1=CC(C2=CC=CC=C2)=CC(OC)=C1O,0.8801971771122693,3.076400000000002,1.5781127356867106,c1ccc(-c2ccccc2)cc1,1.5781127356867106,COc1cc(-c2ccccc2)cc(OC)c1O,0.8801971771122693,230.263,3.076400000000002,38.69,3,1,3,17,2,0.1428571428571428,c1ccc(-c2ccccc2)cc1,0,True,1.5781127356867106,0,qed,30
CN(C)CC1=CC=C(CN2CNC(C3=CC=C(Cl)C=C3Cl)=N2)C=C1,0.8772708470368202,3.7795000000000014,2.711304523447032,c1ccc(CN2CNC(c3ccccc3)=N2)cc1,2.711304523447032,CN(C)Cc1ccc(CN2CNC(c3ccc(Cl)cc3Cl)=N2)cc1,0.8772708470368202,363.2920000000001,3.7795000000000014,30.87,4,1,5,24,2,0.2777777777777778,c1ccc(CN2CNC(c3ccccc3)=N2)cc1,0,True,2.711304523447032,0,qed,31
CC(C)(C)OC(=O)NC(CC1=CC=C(N2C=CC=N2)C=C1)C(=O)O,0.8772529367060389,2.3927,2.501205804979307,c1ccc(-n2cccn2)cc1,2.501205804979307,CC(C)(C)OC(=O)NC(Cc1ccc(-n2cccn2)cc1)C(=O)O,0.8772529367060389,331.37200000000007,2.3927,93.45,5,2,5,24,2,0.3529411764705882,c1ccc(-n2cccn2)cc1,0,True,2.501205804979307,0,qed,32
O=C(O)COC1=CC=C(CC2=CC=CC=C2)C=C1,0.8764840483990993,2.740800000000001,1.4534485620865905,c1ccc(Cc2ccccc2)cc1,1.4534485620865905,O=C(O)COc1ccc(Cc2ccccc2)cc1,0.8764840483990993,242.274,2.740800000000001,46.53,2,1,5,18,2,0.1333333333333333,c1ccc(Cc2ccccc2)cc1,0,True,1.4534485620865905,0,qed,33
