Mol,QED,logP,SA,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa
O=C1C2=CC=C(C3=CC=CC=C3)C=C=C2OC2=CC=CC=C12,0.6873645192093027,2.606300000000001,3.1483472625121998,O=c1c2c(oc3ccccc13)=C=CC(c1ccccc1)=CC=2,3.1483472625121998,O=c1c2c(oc3ccccc13)=C=CC(c1ccccc1)=CC=2,0.6873645192093027,284.314,2.606300000000001,30.21,2,0,1,22,3,0.0,O=c1c2c(oc3ccccc13)=C=CC(c1ccccc1)=CC=2,0,True,3.1483472625121998
CC(=O)NC1=NC2=CC(OCC3=CC=CN(CC4=CC=C(Cl)C=C4)C3=O)=CC=C2N1,0.4918178337098456,3.963700000000002,2.3992432635074206,O=c1c(COc2ccc3[nH]cnc3c2)cccn1Cc1ccccc1,2.3992432635074206,CC(=O)Nc1nc2cc(OCc3cccn(Cc4ccc(Cl)cc4)c3=O)ccc2[nH]1,0.4918178337098456,422.87200000000007,3.963700000000002,89.00999999999999,5,2,6,30,4,0.13636363636363635,O=c1c(COc2ccc3[nH]cnc3c2)cccn1Cc1ccccc1,0,True,2.3992432635074206
CCN1C(=O)C2=CC=CC=C2N=C1NC(C)C(=O)NCC(=O)N=[N+]=[N-],0.4597179094205915,1.1698999999999995,3.197613838868576,O=c1[nH]cnc2ccccc12,3.197613838868576,CCn1c(NC(C)C(=O)NCC(=O)N=[N+]=[N-])nc2ccccc2c1=O,0.4597179094205915,343.34700000000004,1.1698999999999995,141.85000000000002,6,2,6,25,2,0.3333333333333333,O=c1[nH]cnc2ccccc12,1,False,3.197613838868576
CC(=O)N1CCCC1C1=NC2=CC=C(C(C)(C)CCCC(C)C)C=C2NC1=NC1=CC=C(O)C=C1,0.4222278024275514,6.288200000000008,3.5248182326097854,c1ccc(N=c2[nH]c3ccccc3nc2C2CCCN2)cc1,3.5248182326097854,CC(=O)N1CCCC1c1nc2ccc(C(C)(C)CCCC(C)C)cc2[nH]c1=Nc1ccc(O)cc1,0.4222278024275514,474.6490000000002,6.288200000000008,81.58,4,2,7,35,3,0.4827586206896552,c1ccc(N=c2[nH]c3ccccc3nc2C2CCCN2)cc1,0,True,3.5248182326097854
N=C(N)NCCCCOC1=CC=C(Br)C(Cl)=N1,0.32428406563826434,2.139569999999999,2.5678201006621606,c1ccncc1,2.5678201006621606,N=C(N)NCCCCOc1ccc(Br)c(Cl)n1,0.32428406563826434,321.60600000000005,2.139569999999999,84.02000000000001,3,3,6,17,1,0.4,c1ccncc1,0,True,2.5678201006621606
O=C1C2=CC=C(C3=NN=CO3)C=C2N=CN1CC1=CC=C(C2=CC=CC=C2)C=C1,0.46797729371004193,4.161800000000003,2.227032721163445,O=c1c2ccc(-c3nnco3)cc2ncn1Cc1ccc(-c2ccccc2)cc1,2.227032721163445,O=c1c2ccc(-c3nnco3)cc2ncn1Cc1ccc(-c2ccccc2)cc1,0.46797729371004193,380.4070000000001,4.161800000000003,73.81,6,0,4,29,5,0.043478260869565216,O=c1c2ccc(-c3nnco3)cc2ncn1Cc1ccc(-c2ccccc2)cc1,0,True,2.227032721163445
O=CCCCCCN1C=CC2=CC=CC=C21,0.5344164833368382,3.4006000000000025,2.088115414791867,c1ccc2[nH]ccc2c1,2.088115414791867,O=CCCCCCn1ccc2ccccc21,0.5344164833368382,215.29600000000002,3.4006000000000025,22.0,2,0,6,16,2,0.35714285714285715,c1ccc2[nH]ccc2c1,0,True,2.088115414791867
CCOC(=O)C1=CC2=CC(CC(C)C)=CC=C2N=C1C1=CC=C(Br)C=C1,0.47990022242762886,6.039500000000005,2.111305148051647,c1ccc(-c2ccc3ccccc3n2)cc1,2.111305148051647,CCOC(=O)c1cc2cc(CC(C)C)ccc2nc1-c1ccc(Br)cc1,0.47990022242762886,412.32700000000006,6.039500000000005,39.19,3,0,5,26,3,0.2727272727272727,c1ccc(-c2ccc3ccccc3n2)cc1,0,True,2.111305148051647
CC1=C(C#N)C=C(NC(=O)NC2CCCCC2)N1CC#N,0.8934769388166067,2.6459800000000007,2.831912199310917,O=C(Nc1ccc[nH]1)NC1CCCCC1,2.831912199310917,Cc1c(C#N)cc(NC(=O)NC2CCCCC2)n1CC#N,0.8934769388166067,285.351,2.6459800000000007,93.63999999999999,4,2,3,21,1,0.5333333333333333,O=C(Nc1ccc[nH]1)NC1CCCCC1,0,True,2.831912199310917
CC1=CNN=C1NC(=O)COC1=CC=C(Cl)C=C1Cl,0.9116609673917749,3.042420000000001,2.4851278985317737,O=C(COc1ccccc1)Nc1cc[nH]n1,2.4851278985317737,Cc1c[nH]nc1NC(=O)COc1ccc(Cl)cc1Cl,0.9116609673917749,300.145,3.042420000000001,67.01,3,2,4,19,2,0.16666666666666666,O=C(COc1ccccc1)Nc1cc[nH]n1,0,True,2.4851278985317737
O=C(O)C1=CC=C(C2CC3=CC=C(F)C=C3CO2)C=C1,0.9116457196119325,3.337900000000002,2.5842326314929824,c1ccc(C2Cc3ccccc3CO2)cc1,2.5842326314929824,O=C(O)c1ccc(C2Cc3ccc(F)cc3CO2)cc1,0.9116457196119325,272.275,3.337900000000002,46.53,2,1,2,20,2,0.1875,c1ccc(C2Cc3ccccc3CO2)cc1,0,True,2.5842326314929824
CCCCCCCCCCN=C(O)C1=CC=CC=C1,0.35320164494359935,5.131900000000004,1.9642895029650767,c1ccccc1,1.9642895029650767,CCCCCCCCCCN=C(O)c1ccccc1,0.35320164494359935,261.409,5.131900000000004,32.59,1,1,10,19,1,0.5882352941176471,c1ccccc1,0,True,1.9642895029650767
CC1=CC=C(C)C(C2=CC=CC3=NC=CC=C23)=C1,0.6019181345141233,4.518640000000003,1.7096183845717974,c1ccc(-c2cccc3ncccc23)cc1,1.7096183845717974,Cc1ccc(C)c(-c2cccc3ncccc23)c1,0.6019181345141233,233.31400000000002,4.518640000000003,12.89,1,0,1,18,3,0.11764705882352941,c1ccc(-c2cccc3ncccc23)cc1,0,True,1.7096183845717974
CC(C)(C)C(=O)NC(CC=CC1=CC=NO1)CC1=CC=CN=C1,0.8886327161000994,3.246500000000002,3.379625565786683,C(=Cc1ccno1)CCCc1cccnc1,3.379625565786683,CC(C)(C)C(=O)NC(CC=Cc1ccno1)Cc1cccnc1,0.8886327161000994,313.401,3.246500000000002,68.02000000000001,4,1,6,23,2,0.3888888888888889,C(=Cc1ccno1)CCCc1cccnc1,0,True,3.379625565786683
CC(C)N1C2=CC=C(Br)C=C2C(C2=CC=C(Cl)C=C2)=C1C1CNC1,0.5679422511022078,5.991900000000005,2.5805205192598226,c1ccc(-c2c(C3CNC3)[nH]c3ccccc23)cc1,2.5805205192598226,CC(C)n1c(C2CNC2)c(-c2ccc(Cl)cc2)c2cc(Br)ccc21,0.5679422511022078,403.75100000000015,5.991900000000005,16.96,2,1,3,24,3,0.3,c1ccc(-c2c(C3CNC3)[nH]c3ccccc23)cc1,0,True,2.5805205192598226
COC1=CC2=C(C=C1NC(=O)CCC(=O)N1CCN(C(=O)CCCC3=CNC=N3)CC1)OCCSN2,0.43321830681625323,2.2832,3.143730482244367,O=C(CCC(=O)N1CCN(C(=O)CCCc2c[nH]cn2)CC1)Nc1ccc2c(c1)OCCSN2,3.143730482244367,COc1cc2c(cc1NC(=O)CCC(=O)N1CCN(C(=O)CCCc3c[nH]cn3)CC1)OCCSN2,0.43321830681625323,516.6240000000004,2.2832,128.89000000000001,8,3,9,36,2,0.5,O=C(CCC(=O)N1CCN(C(=O)CCCc2c[nH]cn2)CC1)Nc1ccc2c(c1)OCCSN2,0,True,3.143730482244367
CC1=CC=C2NCC(C)(C)OC2=C1,0.6572879927435957,2.5779200000000007,2.728405134624211,c1ccc2c(c1)NCCO2,2.728405134624211,Cc1ccc2c(c1)OC(C)(C)CN2,0.6572879927435957,177.247,2.5779200000000007,21.259999999999998,2,1,0,13,1,0.45454545454545453,c1ccc2c(c1)NCCO2,0,True,2.728405134624211
O=C(COC(=O)C1=CC=C2CCCCC2=C1)NC1=CC=C(OC2=CC=C(C3=CC=NC=C3)N=C2[N+](=O)[O-])C=C1,0.1809592967117854,5.518400000000006,2.5631277719209535,O=C(COC(=O)c1ccc2c(c1)CCCC2)Nc1ccc(Oc2ccc(-c3ccncc3)nc2)cc1,2.5631277719209535,O=C(COC(=O)c1ccc2c(c1)CCCC2)Nc1ccc(Oc2ccc(-c3ccncc3)nc2[N+](=O)[O-])cc1,0.1809592967117854,524.5330000000002,5.518400000000006,133.55,8,1,8,39,4,0.1724137931034483,O=C(COC(=O)c1ccc2c(c1)CCCC2)Nc1ccc(Oc2ccc(-c3ccncc3)nc2)cc1,0,True,2.5631277719209535
CC1=CC=C2C(=O)C3=CC=C(C(=O)NCC(F)(F)CSC4=NN=NN4)C=C3C(=O)C2=C1,0.439626016488266,2.44092,3.0368453481647313,O=C(NCCCSc1nnn[nH]1)c1ccc2c(c1)C(=O)c1ccccc1C2=O,3.0368453481647313,Cc1ccc2c(c1)C(=O)c1cc(C(=O)NCC(F)(F)CSc3nnn[nH]3)ccc1C2=O,0.439626016488266,443.4350000000001,2.44092,117.69999999999999,7,2,6,31,3,0.2,O=C(NCCCSc1nnn[nH]1)c1ccc2c(c1)C(=O)c1ccccc1C2=O,1,False,3.0368453481647313
COC1=CC=C(C)C2=C1C(=O)C1=CC=C(CCCCOC3=CC=C(OC(=O)CCC4CCCO4)C=C3)C=C1C2=O,0.1295982300146904,6.045320000000006,3.06498186118095,O=C(CCC1CCCO1)Oc1ccc(OCCCCc2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,3.06498186118095,COc1ccc(C)c2c1C(=O)c1ccc(CCCCOc3ccc(OC(=O)CCC4CCCO4)cc3)cc1C2=O,0.1295982300146904,542.6280000000003,6.045320000000006,88.13,7,0,11,40,3,0.36363636363636365,O=C(CCC1CCCO1)Oc1ccc(OCCCCc2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,1,False,3.06498186118095
C1=CN=NC(CCNC2=NC=CS2)=C1,0.8249313816846421,1.5877,2.5205970692086215,c1cnnc(CCNc2nccs2)c1,2.5205970692086215,c1cnnc(CCNc2nccs2)c1,0.8249313816846421,206.274,1.5877,50.7,5,1,4,14,2,0.2222222222222222,c1cnnc(CCNc2nccs2)c1,0,True,2.5205970692086215
O=C(CSC1=NN=CN1CCOCCOCCCl)N1CCC(C2=CC=CO2)=N1,0.2896464456557343,1.8717999999999997,3.057487469615758,O=C(CSc1nnc[nH]1)N1CCC(c2ccco2)=N1,3.057487469615758,O=C(CSc1nncn1CCOCCOCCCl)N1CCC(c2ccco2)=N1,0.2896464456557343,427.9140000000001,1.8717999999999997,94.98,9,0,12,28,2,0.5294117647058824,O=C(CSc1nnc[nH]1)N1CCC(c2ccco2)=N1,0,True,3.057487469615758
COCCNC(=O)NC1=CC=CC=C1C(=O)NC1=NC(C2=CC3=CC=CC=C3N=C2O)=CS1,0.3060837829248988,4.084100000000002,2.437510033252371,O=C(Nc1nc(-c2cnc3ccccc3c2)cs1)c1ccccc1,2.437510033252371,COCCNC(=O)Nc1ccccc1C(=O)Nc1nc(-c2cc3ccccc3nc2O)cs1,0.3060837829248988,463.5190000000002,4.084100000000002,125.47000000000001,7,4,7,33,4,0.13043478260869565,O=C(Nc1nc(-c2cnc3ccccc3c2)cs1)c1ccccc1,0,True,2.437510033252371
C1=CC=C(CN2CCC(C3=CC=CC=C3)CC2)C=C1,0.7946548958584166,4.066200000000003,1.4839096722694585,c1ccc(CN2CCC(c3ccccc3)CC2)cc1,1.4839096722694585,c1ccc(CN2CCC(c3ccccc3)CC2)cc1,0.7946548958584166,251.37300000000002,4.066200000000003,3.24,1,0,3,19,2,0.3333333333333333,c1ccc(CN2CCC(c3ccccc3)CC2)cc1,0,True,1.4839096722694585
COC1=CC(C=CC2=NC3=CC=CC=C3C(=O)N2N2CCCC2)=CC=C1O,0.7717581532412188,3.0129000000000015,2.5689703405362465,O=c1c2ccccc2nc(C=Cc2ccccc2)n1N1CCCC1,2.5689703405362465,COc1cc(C=Cc2nc3ccccc3c(=O)n2N2CCCC2)ccc1O,0.7717581532412188,363.4170000000002,3.0129000000000015,67.59,6,1,4,27,3,0.23809523809523808,O=c1c2ccccc2nc(C=Cc2ccccc2)n1N1CCCC1,0,True,2.5689703405362465
CC(=O)NC1=CC=C(C2=CSC(NCC3CCN(CC4=CC=CC=C4)CC3)=N2)C=C1,0.5587837819196578,5.0926000000000045,2.0921670397311978,c1ccc(CN2CCC(CNc3nc(-c4ccccc4)cs3)CC2)cc1,2.0921670397311978,CC(=O)Nc1ccc(-c2csc(NCC3CCN(Cc4ccccc4)CC3)n2)cc1,0.5587837819196578,420.58200000000016,5.0926000000000045,57.260000000000005,5,2,7,30,3,0.3333333333333333,c1ccc(CN2CCC(CNc3nc(-c4ccccc4)cs3)CC2)cc1,0,True,2.0921670397311978
CC(=O)C1=CC=C(S(=O)(=O)N(C)CC(=O)N2CCC(C3=CC=CC=C3)CC2)C=C1,0.6814232039692127,2.9159000000000015,2.0818358616921664,O=C(CNS(=O)(=O)c1ccccc1)N1CCC(c2ccccc2)CC1,2.0818358616921664,CC(=O)c1ccc(S(=O)(=O)N(C)CC(=O)N2CCC(c3ccccc3)CC2)cc1,0.6814232039692127,414.52700000000016,2.9159000000000015,74.76,4,0,6,29,2,0.36363636363636365,O=C(CNS(=O)(=O)c1ccccc1)N1CCC(c2ccccc2)CC1,0,True,2.0818358616921664
O=[N+]([O-])C1=CC(F)=CC(Cl)=C1,0.4859048548225686,2.3873000000000006,2.0836528561911294,c1ccccc1,2.0836528561911294,O=[N+]([O-])c1cc(F)cc(Cl)c1,0.4859048548225686,175.546,2.3873000000000006,43.14,2,0,1,11,1,0.0,c1ccccc1,0,True,2.0836528561911294
CC1=CC(C)=C(C2=CC=NC=C2)N1C1=CC=CC=C1,0.6656442728147324,4.156140000000002,2.0403577547133285,c1ccc(-n2cccc2-c2ccncc2)cc1,2.0403577547133285,Cc1cc(C)n(-c2ccccc2)c1-c1ccncc1,0.6656442728147324,248.329,4.156140000000002,17.82,2,0,2,19,3,0.11764705882352941,c1ccc(-n2cccc2-c2ccncc2)cc1,0,True,2.0403577547133285
CCC1=CC=C(COC2=CC=C(OCC(=O)OC(C)(C)C)C=C2)C=C1,0.6926263523708,4.548500000000004,1.785701785627193,c1ccc(COc2ccccc2)cc1,1.785701785627193,CCc1ccc(COc2ccc(OCC(=O)OC(C)(C)C)cc2)cc1,0.6926263523708,342.43500000000006,4.548500000000004,44.760000000000005,4,0,7,25,2,0.38095238095238093,c1ccc(COc2ccccc2)cc1,0,True,1.785701785627193
CCCCCCN=C(N)C1=CC=C(C(=O)NC2=CC=CC=C2)C=C1,0.4336284856676055,4.224500000000003,1.85336658325423,O=C(Nc1ccccc1)c1ccccc1,1.85336658325423,CCCCCCN=C(N)c1ccc(C(=O)Nc2ccccc2)cc1,0.4336284856676055,323.44000000000005,4.224500000000003,67.47999999999999,2,2,8,24,2,0.3,O=C(Nc1ccccc1)c1ccccc1,0,True,1.85336658325423
O=C(CCCNC1=CC=NC2=CC(F)=CC=C21)N1CCSCC1,0.8540246097923967,3.1414000000000017,2.35273288434008,O=C(CCCNc1ccnc2ccccc12)N1CCSCC1,2.35273288434008,O=C(CCCNc1ccnc2cc(F)ccc12)N1CCSCC1,0.8540246097923967,333.43200000000013,3.1414000000000017,45.230000000000004,4,1,5,23,2,0.4117647058823529,O=C(CCCNc1ccnc2ccccc12)N1CCSCC1,0,True,2.35273288434008
CCCCCCCCCCCCCCCCCCNCCCNCC(N)=C(C1=CC=CC=C1)C1=CC=CS1,0.11017504131112157,9.297000000000004,2.7137811591945145,C=C(c1ccccc1)c1cccs1,2.7137811591945145,CCCCCCCCCCCCCCCCCCNCCCNCC(N)=C(c1ccccc1)c1cccs1,0.11017504131112157,539.9180000000001,9.297000000000004,50.08,4,3,25,38,2,0.6470588235294118,C=C(c1ccccc1)c1cccs1,0,True,2.7137811591945145
CN(O)C(=O)CCCCCC(=O)N1CCN(C(=O)CCCCCCCO)CC1,0.27928206889754836,1.7881999999999993,2.3642477813490537,C1CNCCN1,2.3642477813490537,CN(O)C(=O)CCCCCC(=O)N1CCN(C(=O)CCCCCCCO)CC1,0.27928206889754836,399.5320000000004,1.7881999999999993,101.39,5,2,13,28,0,0.85,C1CNCCN1,0,True,2.3642477813490537
O=C(CCC(=O)C1=CC=C(Cl)C=C1Cl)OC(C1=CC=C([N+](=O)[O-])C=C1)C1CCCCC1,0.1871473547445055,6.729300000000005,2.862337809004515,O=C(CCC(=O)c1ccccc1)OC(c1ccccc1)C1CCCCC1,2.862337809004515,O=C(CCC(=O)c1ccc(Cl)cc1Cl)OC(c1ccc([N+](=O)[O-])cc1)C1CCCCC1,0.1871473547445055,464.3450000000003,6.729300000000005,86.51,5,0,8,31,2,0.391304347826087,O=C(CCC(=O)c1ccccc1)OC(c1ccccc1)C1CCCCC1,0,True,2.862337809004515
CC1CN=C(NC2(C3=CC(C(=O)NC4=CC=CC(Cl)=C4)=NO3)CCCCC2)NC1,0.7033592140326834,3.9246000000000025,3.5949317287043208,O=C(Nc1ccccc1)c1cc(C2(NC3=NCCCN3)CCCCC2)on1,3.5949317287043208,CC1CN=C(NC2(c3cc(C(=O)Nc4cccc(Cl)c4)no3)CCCCC2)NC1,0.7033592140326834,415.92500000000024,3.9246000000000025,91.55,6,3,4,29,2,0.47619047619047616,O=C(Nc1ccccc1)c1cc(C2(NC3=NCCCN3)CCCCC2)on1,0,True,3.5949317287043208
CCCC1=CN=C(C(N)CCN(CCNCC2=CC3=CC(C(=N)N)=CC=C3N2)CCN(C)CN)S1,0.076536853190913,2.1906700000000017,3.8074702805618337,c1ccc2[nH]c(CNCCNCCCc3nccs3)cc2c1,3.8074702805618337,CCCc1cnc(C(N)CCN(CCNCc2cc3cc(C(=N)N)ccc3[nH]2)CCN(C)CN)s1,0.076536853190913,499.73300000000023,2.1906700000000017,149.1,8,6,16,35,3,0.52,c1ccc2[nH]c(CNCCNCCCc3nccs3)cc2c1,0,True,3.8074702805618337
CCOC(=O)C(O)=NC1=CC=C(Cl)C=C1,0.47978628777423754,2.4911000000000003,2.374301599104104,c1ccccc1,2.374301599104104,CCOC(=O)C(O)=Nc1ccc(Cl)cc1,0.47978628777423754,227.64700000000002,2.4911000000000003,58.89,3,1,2,15,1,0.2,c1ccccc1,0,True,2.374301599104104
CC(C)C1=CC=C2C(=C1)C=C(CN1CCC(C3=CC=C(Cl)C=C3)CC1)CN2C(=O)C(C)(C)C,0.4804657704195156,7.1191000000000075,2.7827480688094894,C1=C(CN2CCC(c3ccccc3)CC2)CNc2ccccc21,2.7827480688094894,CC(C)c1ccc2c(c1)C=C(CN1CCC(c3ccc(Cl)cc3)CC1)CN2C(=O)C(C)(C)C,0.4804657704195156,465.08100000000024,7.1191000000000075,23.55,2,0,4,33,2,0.4827586206896552,C1=C(CN2CCC(c3ccccc3)CC2)CNc2ccccc21,0,True,2.7827480688094894
CCOC1=CC=C(C(=O)NCC2CCC(C(=O)O)CC2)C=C1,0.847034164244088,2.706100000000001,1.8372910991222398,O=C(NCC1CCCCC1)c1ccccc1,1.8372910991222398,CCOc1ccc(C(=O)NCC2CCC(C(=O)O)CC2)cc1,0.847034164244088,305.374,2.706100000000001,75.63,3,2,6,22,1,0.5294117647058824,O=C(NCC1CCCCC1)c1ccccc1,0,True,1.8372910991222398
CNC1=C(C(=O)OC)N=NN1C1=CC=C(C)C=C1,0.8290027034904587,1.4040199999999998,2.3154821952226836,c1ccc(-n2ccnn2)cc1,2.3154821952226836,CNc1c(C(=O)OC)nnn1-c1ccc(C)cc1,0.8290027034904587,246.27,1.4040199999999998,69.03999999999999,6,1,3,18,2,0.25,c1ccc(-n2ccnn2)cc1,0,True,2.3154821952226836
CN(CC(=CO)C=C1C(=C=CCNS(=O)(=O)C2=CC=C(F)C=C2)C=CC2=C1N(CCCC(N)=O)C(=O)C1=CC=CC=C12)CC1=CC=CO1,0.12851236295529408,3.4208000000000016,3.697526274928384,C=C(C=c1c(=C=CCNS(=O)(=O)c2ccccc2)ccc2c1[nH]c(=O)c1ccccc12)CNCc1ccco1,3.697526274928384,CN(CC(=CO)C=c1c(=C=CCNS(=O)(=O)c2ccc(F)cc2)ccc2c3ccccc3c(=O)n(CCCC(N)=O)c12)Cc1ccco1,0.12851236295529408,670.7630000000001,3.4208000000000016,147.87,8,3,13,48,5,0.19444444444444445,C=C(C=c1c(=C=CCNS(=O)(=O)c2ccccc2)ccc2c1[nH]c(=O)c1ccccc12)CNCc1ccco1,1,False,3.697526274928384
O=C(O)CCCC(NC(=O)CC1=CC=CC=C1)C(=O)NC(SC=C1CCCC1)=C(O)O,0.32679094452463703,3.518700000000001,3.450668843487273,C=C(NC(=O)CNC(=O)Cc1ccccc1)SC=C1CCCC1,3.450668843487273,O=C(O)CCCC(NC(=O)Cc1ccccc1)C(=O)NC(SC=C1CCCC1)=C(O)O,0.32679094452463703,448.5410000000003,3.518700000000001,135.96,6,5,11,31,1,0.4090909090909091,C=C(NC(=O)CNC(=O)Cc1ccccc1)SC=C1CCCC1,0,True,3.450668843487273
CC(NC(=O)C(N)CC1=CC=C(C(=O)N(C)C)C=C1)C(=O)NCC1=CC=CO1,0.6164051792846637,0.6723000000000015,2.8382301810677113,O=C(CCc1ccccc1)NCC(=O)NCc1ccco1,2.8382301810677113,CC(NC(=O)C(N)Cc1ccc(C(=O)N(C)C)cc1)C(=O)NCc1ccco1,0.6164051792846637,386.4520000000001,0.6723000000000015,117.67,5,3,8,28,2,0.35,O=C(CCc1ccccc1)NCC(=O)NCc1ccco1,0,True,2.8382301810677113
CCS(=O)(=O)C=CC1=NC2=CC=C(Cl)C=C2C(=O)N1,0.9393791123589804,1.9818999999999998,2.778165215713866,O=c1[nH]cnc2ccccc12,2.778165215713866,CCS(=O)(=O)C=Cc1nc2ccc(Cl)cc2c(=O)[nH]1,0.9393791123589804,298.75100000000003,1.9818999999999998,79.88999999999999,4,1,3,19,2,0.16666666666666666,O=c1[nH]cnc2ccccc12,0,True,2.778165215713866
CN1N=CC=C1CN1CCN(C(=N)N)CC1,0.5190013136504756,-0.5688299999999982,2.467246936886795,c1cc(CN2CCNCC2)[nH]n1,2.467246936886795,Cn1nccc1CN1CCN(C(=N)N)CC1,0.5190013136504756,222.296,-0.5688299999999982,74.17,4,2,2,16,1,0.6,c1cc(CN2CCNCC2)[nH]n1,0,True,2.467246936886795
CC(C=CC=C=C1NC2=CC=C(F)C=C2C(C)(CCC(C)(C)C)C1=CC(F)=C(N)N)=CC(N)=O,0.25659423538565823,5.344400000000002,4.618691094872384,C=C1Cc2ccccc2NC1=C,4.618691094872384,CC(C=CC=C=C1Nc2ccc(F)cc2C(C)(CCC(C)(C)C)C1=CC(F)=C(N)N)=CC(N)=O,0.25659423538565823,468.59200000000027,5.344400000000002,107.16,4,4,6,34,1,0.3333333333333333,C=C1Cc2ccccc2NC1=C,0,True,4.618691094872384
O=S(=O)(C1=CC=CC=C1)C1=CC=C(C2=CC=C(N3C=NC4=CC=CC=C43)C=C2)C=C1,0.39165929692046175,5.525300000000004,1.9932189628081218,O=S(=O)(c1ccccc1)c1ccc(-c2ccc(-n3cnc4ccccc43)cc2)cc1,1.9932189628081218,O=S(=O)(c1ccccc1)c1ccc(-c2ccc(-n3cnc4ccccc43)cc2)cc1,0.39165929692046175,410.49800000000005,5.525300000000004,51.96,4,0,4,30,5,0.0,O=S(=O)(c1ccccc1)c1ccc(-c2ccc(-n3cnc4ccccc43)cc2)cc1,0,True,1.9932189628081218
O=C(NC1=CC=CC=C1)N1CCOC2=CC(NC3=CC=CC=[N+]3CCO)=CC=C21,0.5841781193929637,3.140900000000001,2.7291948762723575,O=C(Nc1ccccc1)N1CCOc2cc(Nc3cccc[nH+]3)ccc21,2.7291948762723575,O=C(Nc1ccccc1)N1CCOc2cc(Nc3cccc[n+]3CCO)ccc21,0.5841781193929637,391.4510000000001,3.140900000000001,77.71000000000001,4,3,5,29,3,0.18181818181818182,O=C(Nc1ccccc1)N1CCOc2cc(Nc3cccc[nH+]3)ccc21,0,True,2.7291948762723575
CCC(=O)N1CN=C(C)N=C1NC1=CC=C(C2=NC3=CC=CC=C3S2)C=C1,0.7371929498487342,4.359300000000004,2.8396093937906848,C1=NCNC(Nc2ccc(-c3nc4ccccc4s3)cc2)=N1,2.8396093937906848,CCC(=O)N1CN=C(C)N=C1Nc1ccc(-c2nc3ccccc3s2)cc1,0.7371929498487342,377.47300000000007,4.359300000000004,69.95,6,1,3,27,3,0.2,C1=NCNC(Nc2ccc(-c3nc4ccccc4s3)cc2)=N1,0,True,2.8396093937906848
ClC1=CC=C2SC3=C(CCNC3)C2=C1,0.7234811246332078,3.200400000000001,2.540259572558929,c1ccc2c3c(sc2c1)CNCC3,2.540259572558929,Clc1ccc2sc3c(c2c1)CCNC3,0.7234811246332078,223.72799999999995,3.200400000000001,12.03,2,1,0,14,2,0.2727272727272727,c1ccc2c3c(sc2c1)CNCC3,0,True,2.540259572558929
