Mol,QED,logP,SA,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,lipinski_violations_calc,method,rank_rulekit
O=C(NS(=O)(=O)C1=CC=C(C(F)(F)F)C=C1)C1=CC=CO1,0.9423897373717004,2.4171000000000005,2.061087345128525,O=C(NS(=O)(=O)c1ccccc1)c1ccco1,2.061087345128525,O=C(NS(=O)(=O)c1ccc(C(F)(F)F)cc1)c1ccco1,0.9423897373717004,319.26000000000005,2.4171000000000005,76.38,4,1,3,21,2,0.0833333333333333,O=C(NS(=O)(=O)c1ccccc1)c1ccco1,0,True,2.061087345128525,0,rulekit,1
O=C(NC1=NC=CN=C1)C1=CC=C(OC(F)(F)F)C=C1,0.9400740480395336,2.6275000000000004,1.9955833778090195,O=C(Nc1cnccn1)c1ccccc1,1.9955833778090195,O=C(Nc1cnccn1)c1ccc(OC(F)(F)F)cc1,0.9400740480395336,283.209,2.6275000000000004,64.11,4,1,3,20,2,0.0833333333333333,O=C(Nc1cnccn1)c1ccccc1,0,True,1.9955833778090195,0,rulekit,2
O=S(=O)(NCC1=CC=CC=C1)C1=CC=C(Cl)C=C1,0.9366158801164702,2.818500000000001,1.4614751544987037,O=S(=O)(NCc1ccccc1)c1ccccc1,1.4614751544987037,O=S(=O)(NCc1ccccc1)c1ccc(Cl)cc1,0.9366158801164702,281.764,2.818500000000001,46.17,2,1,4,18,2,0.0769230769230769,O=S(=O)(NCc1ccccc1)c1ccccc1,0,True,1.4614751544987037,0,rulekit,3
CC(=O)NC1=C(OC(C)(C)C)C=C(C2=NC=CC=C2)C=C1,0.9300542698816467,3.8843000000000014,2.037250516983894,c1ccc(-c2ccccn2)cc1,2.037250516983894,CC(=O)Nc1ccc(-c2ccccn2)cc1OC(C)(C)C,0.9300542698816467,284.359,3.8843000000000014,51.22,3,1,3,21,2,0.2941176470588235,c1ccc(-c2ccccn2)cc1,0,True,2.037250516983894,0,rulekit,4
CCOC1=CC=C2C(=C1)CCC1=CC(NC3CCOC3)=CC=C12,0.9239271937401846,4.051700000000003,2.696435377829843,c1ccc2c(c1)CCc1cc(NC3CCOC3)ccc1-2,2.696435377829843,CCOc1ccc2c(c1)CCc1cc(NC3CCOC3)ccc1-2,0.9239271937401846,309.40900000000005,4.051700000000003,30.49,3,1,4,23,2,0.4,c1ccc2c(c1)CCc1cc(NC3CCOC3)ccc1-2,0,True,2.696435377829843,0,rulekit,5
CC1=CC=C2NC(=O)CN(CC3=CC=C4OCOC4=C3)C(=O)C2=C1,0.9203968734890228,2.31822,2.2683538742241325,O=C1CN(Cc2ccc3c(c2)OCO3)C(=O)c2ccccc2N1,2.2683538742241325,Cc1ccc2c(c1)C(=O)N(Cc1ccc3c(c1)OCO3)CC(=O)N2,0.9203968734890228,324.33600000000007,2.31822,67.87,4,1,2,24,2,0.2222222222222222,O=C1CN(Cc2ccc3c(c2)OCO3)C(=O)c2ccccc2N1,0,True,2.2683538742241325,0,rulekit,6
CCC(O)(C(=O)N1CCC(C2=CC=CC=C2)CC1)C1=CC=C(F)C=C1,0.9180656203539548,3.829500000000003,2.6561512735098702,O=C(Cc1ccccc1)N1CCC(c2ccccc2)CC1,2.6561512735098702,CCC(O)(C(=O)N1CCC(c2ccccc2)CC1)c1ccc(F)cc1,0.9180656203539548,341.42600000000004,3.829500000000003,40.54,2,1,4,25,2,0.3809523809523809,O=C(Cc1ccccc1)N1CCC(c2ccccc2)CC1,0,True,2.6561512735098702,0,rulekit,7
O=C(NC(C1=CC=C(Cl)C=C1)C1CCNC1)C1=CC=CC=N1,0.9119403790187048,2.8156000000000008,2.920280911798596,O=C(NC(c1ccccc1)C1CCNC1)c1ccccn1,2.920280911798596,O=C(NC(c1ccc(Cl)cc1)C1CCNC1)c1ccccn1,0.9119403790187048,315.804,2.8156000000000008,54.02,3,2,4,22,2,0.2941176470588235,O=C(NC(c1ccccc1)C1CCNC1)c1ccccn1,0,True,2.920280911798596,0,rulekit,8
CN(C)CCN1C(=O)C2=CC=CC=C2C2=C1CCNC2,0.9115179870102028,1.2087999999999994,2.410021058549331,O=c1[nH]c2c(c3ccccc13)CNCC2,2.410021058549331,CN(C)CCn1c2c(c3ccccc3c1=O)CNCC2,0.9115179870102028,271.364,1.2087999999999994,37.27,4,1,3,20,2,0.4375,O=c1[nH]c2c(c3ccccc13)CNCC2,0,True,2.410021058549331,0,rulekit,9
CNC(=O)CC1=CN(CCC(C)(C)C)C2=CC=CC=C12,0.90944996123621,3.366000000000001,2.231549082104724,c1ccc2[nH]ccc2c1,2.231549082104724,CNC(=O)Cc1cn(CCC(C)(C)C)c2ccccc12,0.90944996123621,272.392,3.366000000000001,34.03,2,1,4,20,2,0.4705882352941176,c1ccc2[nH]ccc2c1,0,True,2.231549082104724,0,rulekit,10
