generator,method,topk,n_top,score_mean,score_median,qed_mean,sa_mean,mw_mean,tpsa_mean,frac_csp3_mean,rings_aromatic_mean
GenMol,raw,100,100,-7.316,-7.2,0.719640690507259,2.6391027813920207,375.0661318681319,55.05395604395605,0.3139277639111746,2.5054945054945055
GenMol,qed,100,100,-6.856000000000002,-6.8,0.9278309030559291,2.217536934691276,322.97019000000006,49.5912,0.3635147728948038,1.9
GenMol,rulekit,100,100,-6.878000000000002,-6.8,0.9288099416780434,2.222517536385188,324.1749900000001,50.33269999999999,0.36485760971055087,1.91
GenMol,lite,100,100,-6.9499999999999975,-6.9,0.9186855833642394,1.9885940326953897,326.33509000000004,49.2869,0.3443049680797359,1.95
GenMol,heavy,100,100,-6.927999999999997,-6.9,0.8508763112257958,1.8824873522829642,347.0754800000001,61.28739999999999,0.3032540023186308,2.04
MoLeR,raw,100,100,-7.998000000000001,-7.9,0.3913493863243375,2.9041199618879485,477.8994500000001,89.3882,0.1918235553714762,3.76
MoLeR,qed,100,100,-7.063,-7.0,0.8476401145725103,2.711565028484499,351.09146000000015,61.5902,0.33668739508423845,1.98
MoLeR,rulekit,100,100,-7.064999999999999,-7.0,0.8485567193560033,2.6937885864693056,347.0241900000001,62.139300000000006,0.3261869318873794,1.98
MoLeR,lite,100,100,-7.025999999999998,-7.0,0.8492980133718802,2.3403712310076794,335.9601200000001,60.7778,0.3001070509821015,2.12
MoLeR,heavy,100,100,-7.093999999999998,-7.0,0.7004598145024343,2.056926819338118,353.08873000000006,80.67229999999999,0.2192893514059115,2.47
