generator,method,target,n_total,n_valid,score_mean,score_std,hit_rate_le_-6.0,hit_rate_le_-6.5,top1_score,top1_ligand
GenMol,heavy,1M17,900,900,-5.782,0.608,0.396,0.141,-7.3,heavy_tau0.8_seed1_0066
GenMol,lite,1M17,900,900,-5.923,0.469,0.479,0.128,-7.3,lite_tau1.0_seed1_0085
GenMol,qed,1M17,900,900,-5.888,0.453,0.464,0.1,-7.2,qed_tau0.8_seed0_0084
GenMol,raw,1M17,954,954,-5.882,0.738,0.448,0.202,-8.2,raw_1M17_000083
GenMol,rulekit,1M17,900,900,-5.892,0.451,0.464,0.106,-7.2,rulekit_tau0.8_seed0_0083
GenMol,heavy,3EML,900,0,,,,,,
GenMol,lite,3EML,900,0,,,,,,
GenMol,qed,3EML,900,0,,,,,,
GenMol,raw,3EML,898,0,,,,,,
GenMol,rulekit,3EML,900,0,,,,,,
GenMol,heavy,6LU7,900,900,-5.415,0.644,0.22,0.046,-7.1,heavy_tau0.8_seed1_0051
GenMol,lite,6LU7,900,900,-5.476,0.583,0.22,0.059,-7.7,lite_tau0.8_seed2_0098
GenMol,qed,6LU7,900,900,-5.45,0.567,0.207,0.056,-7.2,qed_tau0.8_seed2_0024
GenMol,raw,6LU7,898,898,-5.413,0.612,0.186,0.041,-7.2,raw_tau0.8_seed2_0078
GenMol,rulekit,6LU7,900,900,-5.441,0.571,0.191,0.059,-7.2,rulekit_tau0.8_seed2_0024
GenMol,heavy,CDK2,900,900,-5.596,0.637,0.3,0.088,-7.3,heavy_tau0.8_seed1_0066
GenMol,lite,CDK2,900,900,-5.731,0.548,0.346,0.109,-7.4,lite_tau1.2_seed0_0070
GenMol,qed,CDK2,900,900,-5.685,0.518,0.314,0.078,-7.1,qed_tau1.0_seed1_0048
GenMol,raw,CDK2,898,898,-5.638,0.654,0.313,0.106,-7.5,raw_tau1.2_seed1_0070
GenMol,rulekit,CDK2,900,900,-5.703,0.527,0.324,0.087,-7.2,rulekit_tau0.8_seed2_0012
GenMol,heavy,ERa,900,900,-5.881,0.488,0.46,0.102,-7.2,heavy_tau1.2_seed1_0072
GenMol,lite,ERa,900,900,-5.999,0.426,0.563,0.137,-7.3,lite_tau0.8_seed1_0079
GenMol,qed,ERa,900,900,-5.962,0.422,0.538,0.111,-7.3,qed_tau0.8_seed1_0068
GenMol,raw,ERa,898,898,-5.927,0.561,0.509,0.175,-7.6,raw_tau0.8_seed1_0035
GenMol,rulekit,ERa,900,900,-5.964,0.419,0.529,0.112,-7.3,rulekit_tau0.8_seed1_0068
GenMol,heavy,HIVPR,900,900,-3.152,0.453,0.0,0.0,-4.3,heavy_tau0.8_seed1_0051
GenMol,lite,HIVPR,900,900,-3.277,0.373,0.0,0.0,-4.4,lite_tau0.8_seed1_0073
GenMol,qed,HIVPR,900,900,-3.243,0.355,0.0,0.0,-4.5,qed_tau1.2_seed1_0048
GenMol,raw,HIVPR,898,898,-3.127,0.466,0.0,0.0,-4.4,raw_tau1.0_seed1_0021
GenMol,rulekit,HIVPR,900,900,-3.244,0.379,0.0,0.0,-4.3,rulekit_tau1.2_seed1_0088
GenMol,heavy,THR,900,0,,,,,,
GenMol,lite,THR,900,0,,,,,,
GenMol,qed,THR,900,0,,,,,,
GenMol,raw,THR,898,0,,,,,,
GenMol,rulekit,THR,900,0,,,,,,
MoLeR,heavy,1M17,900,900,-5.532,0.802,0.304,0.131,-8.1,moler_heavy_seed5_0058
MoLeR,lite,1M17,899,899,-5.685,0.637,0.33,0.123,-7.6,moler_lite_seed4_0087
MoLeR,qed,1M17,893,893,-5.713,0.66,0.347,0.139,-8.2,moler_qed_seed6_0064
MoLeR,raw,1M17,883,883,-6.115,1.012,0.548,0.351,-9.1,moler_raw_seed5_0042
MoLeR,rulekit,1M17,893,893,-5.719,0.658,0.358,0.14,-8.2,moler_rulekit_seed6_0064
MoLeR,heavy,6LU7,900,900,-5.102,0.74,0.123,0.042,-7.5,moler_heavy_seed5_0069
MoLeR,lite,6LU7,899,899,-5.202,0.583,0.108,0.027,-7.3,moler_lite_seed3_0084
MoLeR,qed,6LU7,893,893,-5.237,0.576,0.12,0.025,-7.2,moler_qed_seed1_0067
MoLeR,raw,6LU7,883,883,-5.479,0.802,0.265,0.108,-8.2,moler_raw_seed2_0047
MoLeR,rulekit,6LU7,893,893,-5.235,0.577,0.108,0.024,-7.2,moler_rulekit_seed7_0060
MoLeR,heavy,ERa,900,900,-5.646,0.701,0.343,0.132,-8.0,moler_heavy_seed2_0070
MoLeR,lite,ERa,899,899,-5.762,0.56,0.368,0.119,-7.6,moler_lite_seed8_0090
MoLeR,qed,ERa,893,893,-5.789,0.562,0.39,0.127,-7.6,moler_qed_seed6_0064
MoLeR,raw,ERa,883,883,-5.988,0.798,0.524,0.29,-8.6,moler_raw_seed7_0051
MoLeR,rulekit,ERa,893,893,-5.792,0.57,0.394,0.127,-7.6,moler_rulekit_seed6_0064
